	MF.alv.Lu#2	MF.alv.Lu#3	MF.alv.Lu.KPd28#1	MF.alv.Lu.KPd28#2	MF.alv.Lu.KPd17#1	MF.alv.Lu.KPd28#3
Rpl37	142	340	203	71	108	96
Rpl37a	231	439	261	107	178	239
Rpl38	76	170	106	63	58	84
Rpl39	190	430	251	102	148	130
Rpl39l	3	4	13	4	5	9
Rpl3l	11	27	9	3	12	10
Rpl4	4014	6878	4544	2087	3386	1911
Rpl41	701	1540	893	434	536	652
Rpl5	403	730	487	203	303	224
Rpl6	498	1052	580	329	458	310
Rpl7	1242	2190	1554	676	1068	852
Rpl7a	482	862	624	257	406	361
Rpl7a-ps5	1	2	1	0	1	1
Rpl7l1	276	415	342	186	263	156
Rpl8	2272	4300	2844	1082	1912	1596
Rpl9	381	618	432	206	285	283
Rpl9-ps1	0	5	1	1	3	0
Rpl9-ps6	23	38	22	9	20	12
Rplp0	2649	5251	2984	1435	2140	1447
Rplp1	1142	2640	1239	572	896	956
Rplp2	496	1014	516	265	374	439
Rpn1	1170	1193	1370	672	834	600
