	Mo.Ly6C-.Lu#1	Mo.Ly6C-.Lu#2	Mo.Ly6C-.Lu#3	Mo.Ly6C-.Lu.KPd17#1	Mo.Ly6C-.Lu.KPd17#2	Mo.Ly6C-.Lu.KPd28#1	Mo.Ly6C-.Lu.KPd28#2	Mo.Ly6C-.Lu.KPd28#3
Ptges3l	0	0	0	3	1	0	1	2
Ptgfr	1	1	2	12	1	4	3	5
Ptgfrn	8	7	18	36	13	5	51	35
Ptgir	352	271	278	291	192	894	78	165
Ptgis	0	3	7	5	1	0	3	8
Ptgr1	36	43	33	55	65	95	114	164
Ptgr2	106	93	105	99	75	137	66	97
Ptgs1	7	21	41	95	70	27	582	786
Ptgs2	1	1	1	26	15	4	6	28
Pth	0	0	0	2	0	1	0	0
Pth1r	13	4	8	1	1	7	3	2
Pth2	0	0	0	2	1	0	0	0
Pth2r	0	3	0	0	1	1	1	1
Pthlh	2	0	0	0	0	0	0	0
Ptk2	71	103	59	44	44	17	25	19
Ptk2b	2119	1594	1944	1505	910	1196	388	301
Ptk6	3	8	13	22	6	7	0	4
Ptk7	4	5	0	8	0	2	0	0
Ptma	670	488	529	464	321	355	306	389
Ptms	85	70	38	73	53	46	71	77
Ptn	0	1	6	6	2	4	1	0
Ptov1	55	41	45	35	46	81	49	72
Ptp4a1	353	227	289	233	161	129	133	134
Ptp4a2	3802	2232	2930	2618	1899	4525	1079	926
Ptp4a3	475	362	321	341	203	229	86	93
Ptpa	433	370	351	313	239	552	307	359
Ptpdc1	15	16	8	8	4	13	10	5
Ptpn1	2876	1785	2056	1758	1389	2786	1705	1673
Ptpn11	378	384	406	320	185	250	131	113
Ptpn12	536	338	421	320	323	307	265	216
Ptpn13	5	18	24	21	12	1	1	6
Ptpn14	8	6	6	12	7	5	4	7
Ptpn18	203	154	182	163	136	431	119	120
Ptpn2	393	348	346	405	265	461	187	278
Ptpn20	7	3	5	3	2	0	0	3
Ptpn21	17	13	19	38	20	10	13	18
Ptpn22	1036	889	544	724	535	973	254	166
Ptpn23	145	138	135	167	119	134	91	101
Ptpn3	3	3	14	15	11	7	4	3
Ptpn4	92	90	32	112	36	57	35	24
Ptpn5	0	2	4	5	3	1	0	2
Ptpn6	6951	4928	4725	4542	2977	5453	1611	1980
Ptpn7	251	317	275	272	161	406	213	286
Ptpn9	50	52	56	56	47	35	54	48
Ptpra	211	114	127	110	85	123	73	75
Ptprb	18	24	16	12	8	1	3	4
Ptprc	16840	13125	13199	13391	10470	22310	3792	3556
Ptprcap	0	0	0	2	0	3	0	0
Ptprd	22	44	58	51	27	7	21	8
Ptpre	2022	1743	1568	1581	1063	1501	560	603
Ptprf	23	9	6	3	3	3	1	0
Ptprg	24	19	24	11	12	0	6	4
Ptprh	2	12	0	6	1	0	0	0
Ptprj	1228	941	1247	1043	742	1016	330	267
Ptprk	19	17	17	29	16	4	7	3
Ptprm	24	11	15	17	7	2	2	3
Ptprn	1	1	3	1	1	0	0	0
Ptprn2	14	9	7	15	9	7	1	5
Ptpro	1567	1352	1138	1382	903	3886	336	305
Ptprq	14	9	28	17	8	6	7	3
Ptprr	2	7	3	7	0	0	4	0
Ptprs	246	196	137	161	135	130	113	155
Ptprt	18	33	19	28	9	4	6	1
Ptpru	8	5	12	6	1	10	0	1
Ptprz1	26	22	23	18	5	4	0	6
Ptrh1	7	2	10	1	9	6	13	10
Ptrh2	173	131	95	93	76	134	62	67
Ptrhd1	27	32	38	19	13	75	20	15
Pts	715	504	590	492	344	537	250	229
Pttg1	328	239	244	204	184	299	77	60
Pttg1ip	1114	766	891	827	676	1092	558	630
Ptx3	0	1	3	2	0	2	0	0
Ptx4	5	7	2	1	1	0	0	2
Pudp	5	5	11	4	2	1	2	1
Puf60	984	681	612	615	494	864	307	390
Pum1	302	288	306	196	199	348	160	164
Pum2	741	554	558	615	460	784	349	307
Pum3	260	233	209	226	179	266	167	193
Pura	192	136	171	168	152	169	77	80
Purb	645	427	497	543	437	602	273	273
Purg	4	3	7	3	3	25	0	4
Pus1	73	56	44	42	59	82	52	62
Pus10	141	117	129	89	75	199	67	105
Pus3	0	1	1	1	2	3	0	0
Pus7	18	15	23	46	32	36	62	65
Pus7l	39	18	25	14	25	49	26	23
Pusl1	47	45	31	36	52	70	52	51
Pvalb	0	0	2	0	1	0	1	0
Pvr	69	66	118	65	41	108	32	68
Pvrig	10	3	4	1	2	5	13	19
Pwp1	191	208	134	156	116	242	210	235
Pwp2	151	174	138	126	76	118	80	75
Pwwp2a	67	49	108	75	42	58	21	41
Pwwp2b	0	0	0	1	0	1	1	1
Pxdc1	15	13	4	13	14	3	10	29
Pxdn	0	36	10	20	3	1	1	6
Pxk	405	371	272	396	246	428	200	294
Pxmp2	7	3	3	0	12	0	4	5
Pxmp4	60	53	46	75	34	108	39	34
Pxn	758	489	561	596	409	681	207	248
Pxt1	0	3	0	0	1	0	1	0
Pxylp1	53	49	40	37	27	87	21	34
Pycard	532	423	457	388	266	671	444	550
Pycr1	3	4	10	6	5	0	2	0
Pycr2	203	162	158	96	114	283	118	105
Pycrl	150	74	147	110	59	118	39	69
Pydc3	0	14	5	7	10	87	15	5
Pygb	357	275	388	279	175	311	170	161
Pygl	1271	954	1060	1005	598	1614	1056	1299
Pygm	4	3	1	1	0	2	1	0
Pygo1	0	10	5	25	2	1	3	2
Pygo2	176	132	141	132	102	192	59	70
Pym1	41	20	30	13	25	22	33	11
Pyroxd1	94	43	76	43	48	75	27	23
Pyroxd2	7	21	17	22	7	13	13	7
Pyurf	51	28	35	18	14	50	20	15
Pyy	0	2	3	0	0	0	0	0
Pzp	5	5	9	14	8	1	0	1
Qars	566	493	568	601	360	966	435	431
Qdpr	94	60	70	108	64	101	92	83
Qk	1735	1153	1489	1552	1256	2679	1080	1000
Qpct	134	154	59	93	64	73	153	154
Qpctl	89	82	64	54	47	63	62	77
Qprt	41	56	72	64	28	31	2	3
Qrfp	5	12	11	4	7	1	0	3
Qrfpr	1	10	15	9	1	2	1	1
Qrich1	574	516	451	437	295	616	340	347
Qrich2	5	11	1	7	0	7	1	1
Qrsl1	75	121	99	75	35	112	58	57
Qser1	127	67	108	97	70	99	43	44
Qsox1	143	57	119	88	64	181	97	77
Qsox2	57	66	63	53	81	32	51	45
Qtrt1	34	28	54	24	39	51	28	44
Qtrt2	35	48	27	20	19	29	9	30
R3hcc1	24	37	45	34	28	46	39	35
R3hcc1l	270	229	240	210	167	280	93	86
R3hdm1	623	546	709	618	377	669	255	229
R3hdm2	211	185	188	147	81	149	74	65
R3hdm4	308	248	231	240	149	470	150	152
R3hdml	0	0	1	1	0	0	1	0
Rab1	1512	964	1071	1157	880	2232	1116	1361
Rab10	592	385	455	486	415	402	197	247
Rab11a	749	533	643	600	485	1072	394	565
Rab11b	451	374	515	435	314	801	153	206
Rab11fip1	559	398	564	424	314	329	116	134
Rab11fip2	15	45	29	31	20	41	19	12
Rab11fip3	37	22	23	15	17	25	9	14
Rab11fip4	25	11	32	15	6	42	9	5
Rab11fip5	47	113	104	153	109	168	259	240
Rab12	58	46	35	61	17	56	34	30
Rab13	7	9	19	26	13	5	10	16
Rab14	1884	1578	1575	1701	1305	2463	1380	1382
Rab15	1	2	8	5	0	5	0	2
Rab17	0	1	1	1	0	0	0	0
Rab18	891	659	623	710	522	1207	535	682
Rab19	316	322	241	181	169	125	45	52
Rab1b	870	620	626	565	428	1023	488	486
Rab20	195	170	179	174	140	116	199	288
Rab21	202	126	150	104	134	191	126	94
Rab22a	128	82	125	114	76	185	70	62
Rab23	24	14	30	8	7	18	22	17
Rab24	38	16	19	35	25	24	17	23
Rab25	0	1	0	2	0	3	0	0
Rab26	3	6	4	5	1	0	2	8
Rab27a	330	194	213	157	117	320	63	99
Rab27b	13	15	5	13	20	6	4	4
Rab28	217	194	171	182	139	243	159	144
Rab29	493	392	573	409	301	417	162	159
Rab2a	244	154	179	149	165	178	122	132
Rab2b	18	24	19	24	16	17	15	12
Rab30	23	24	10	11	4	3	7	4
Rab31	1832	1194	1179	1380	896	3288	733	871
Rab32	1159	1042	922	973	700	1784	755	952
Rab33a	0	1	2	3	4	2	2	3
Rab33b	217	192	161	199	156	255	108	75
Rab34	1	2	14	17	8	0	7	27
Rab35	71	54	49	44	32	50	25	44
Rab36	50	32	25	23	17	262	22	11
Rab37	4	1	5	10	4	16	4	5
Rab38	1	13	4	9	6	21	3	3
Rab39	88	143	99	59	71	94	22	42
Rab39b	0	6	1	0	0	2	0	2
Rab3a	4	8	1	0	4	5	2	2
Rab3b	1	3	7	1	0	0	0	1
Rab3c	11	36	23	26	12	13	5	4
Rab3d	273	127	151	171	127	537	202	237
Rab3gap1	361	349	311	299	237	419	222	205
Rab3gap2	364	291	327	298	247	391	222	198
Rab3il1	66	177	190	285	223	29	454	592
Rab3ip	48	73	34	41	24	77	18	26
Rab40b	1	4	14	5	1	2	0	0
Rab40c	36	67	64	48	38	21	25	38
Rab42	0	0	5	2	0	0	0	0
Rab43	46	46	55	34	38	67	14	20
Rab44	19	16	22	27	17	87	43	31
Rab4a	0	4	10	0	3	2	0	5
Rab4b	4	2	1	3	2	6	2	2
Rab5a	171	114	139	211	170	209	99	103
Rab5b	330	251	266	263	195	389	119	117
Rab5c	444	202	333	311	204	345	267	293
Rab6a	386	290	333	343	214	513	280	349
Rab6b	26	43	39	39	35	12	5	8
Rab7	1305	902	959	1113	818	1695	971	1181
Rab7b	100	96	128	95	61	147	209	376
Rab8a	1988	1353	1348	1130	863	1691	556	633
Rab8b	1139	998	1055	1283	983	2135	848	1131
Rab9	98	57	88	110	67	147	88	96
Rab9b	2	1	5	2	0	0	0	0
Rabac1	637	423	443	430	358	578	268	264
Rabep1	292	250	224	265	186	341	201	189
Rabep2	246	193	212	157	182	238	98	89
Rabepk	86	76	54	61	44	89	52	71
Rabgap1	327	266	337	302	210	423	169	141
Rabgap1l	121	186	178	165	127	584	76	68
Rabgef1	163	96	88	116	81	162	82	125
Rabggta	337	271	247	251	142	284	147	121
Rabggtb	192	193	198	140	136	269	175	181
Rabif	311	248	367	372	196	356	183	163
Rabl2	17	5	3	18	8	14	19	26
Rabl3	105	65	40	89	67	64	58	43
Rabl6	231	183	167	201	109	175	76	112
Rac1	1917	1033	359	1466	1075	336	342	1003
Rac2	3436	2493	2436	2389	1538	3514	1264	1618
Rac3	3	7	19	6	4	4	6	11
Racgap1	130	64	149	82	78	596	168	144
Rack1	5338	4367	4375	4410	3424	7957	3531	4047
Rad1	52	97	63	84	67	59	32	29
Rad17	177	185	149	197	156	306	97	92
Rad18	67	69	63	88	42	36	46	47
Rad21	194	145	250	147	178	192	147	111
Rad21l	2	5	0	14	0	1	1	0
Rad23a	303	233	208	204	148	297	142	189
Rad23b	101	56	63	88	75	85	52	53
Rad50	175	168	169	135	100	101	104	101
Rad51	4	17	38	12	11	16	31	39
Rad51ap1	13	12	26	18	4	5	26	31
Rad51ap2	0	7	8	21	0	6	0	0
Rad51b	3	21	10	16	6	6	12	8
Rad51c	13	17	28	16	19	17	5	6
Rad51d	99	142	113	131	71	108	36	46
Rad52	119	58	71	70	69	92	36	29
Rad54b	13	14	14	7	15	1	15	22
Rad54l	18	39	37	10	32	27	29	52
Rad54l2	93	70	101	88	44	99	66	79
Rad9a	64	44	36	34	38	58	10	11
Rad9b	16	12	12	12	7	18	7	7
Radil	11	5	1	5	2	1	0	0
Rae1	418	283	260	247	184	325	148	136
Raet1d	6	0	3	1	0	0	5	4
Raet1e	2	0	10	0	3	8	7	8
Raf1	1142	940	934	1039	512	734	285	283
Rag1	4	0	3	7	2	1	4	0
Rag2	1	6	5	9	1	0	3	1
Rai1	224	171	165	150	122	208	80	71
Rai14	24	32	40	55	31	4	223	307
Rai2	0	0	4	0	1	0	0	3
Rala	343	315	325	338	267	564	173	199
Ralb	648	462	418	527	370	1018	450	570
Ralbp1	283	174	219	211	187	328	96	120
Ralgapa1	266	260	260	220	141	265	89	80
Ralgapa2	309	311	298	254	163	287	130	153
Ralgapb	234	213	220	211	125	198	99	91
Ralgds	34	60	50	135	169	6	112	180
Ralgps1	130	77	97	73	87	85	61	30
Ralgps2	92	74	135	110	69	144	33	24
Raly	316	191	113	171	155	82	47	70
Ralyl	3	9	5	9	1	4	3	1
Ramp1	410	328	292	309	216	797	130	95
Ramp2	2	2	5	2	3	0	0	0
Ramp3	0	0	1	1	4	0	3	12
Ran	367	271	232	243	243	458	350	453
Ranbp1	92	87	76	91	64	99	95	128
Ranbp10	157	134	163	166	103	226	71	67
Ranbp17	5	10	6	9	4	11	1	2
Ranbp2	780	619	591	762	594	697	447	443
Ranbp3	309	210	209	205	172	299	135	144
Ranbp3l	2	6	5	3	1	0	0	0
Ranbp6	146	167	143	173	75	205	62	73
Ranbp9	172	123	139	167	86	170	65	55
Rangap1	233	202	282	246	150	197	129	149
Rangrf	0	0	0	0	0	0	0	0
Rap1a	1474	947	931	1271	828	1107	311	374
Rap1b	4828	2825	3647	3397	2359	2677	1167	1335
Rap1gap	11	3	7	9	2	0	7	3
Rap1gap2	1936	1512	2051	1566	845	673	262	191
Rap1gds1	870	852	671	791	528	917	378	506
Rap2a	144	109	88	136	116	186	148	118
Rap2b	162	93	113	124	126	368	88	125
Rap2c	379	345	375	349	230	656	226	273
Rapgef1	412	315	336	298	295	370	135	120
Rapgef2	144	167	148	186	130	213	68	64
Rapgef3	0	6	2	3	3	0	0	0
Rapgef4	8	22	16	4	2	1	0	3
Rapgef5	44	63	48	40	61	17	13	22
Rapgef6	570	483	471	625	358	607	205	255
Rapgefl1	7	5	4	8	12	6	4	5
Raph1	233	170	217	243	222	383	90	97
Rapsn	0	0	0	0	2	0	0	1
Rara	1250	625	877	661	461	1069	216	152
Rarb	6	10	12	12	3	1	2	10
Rarg	169	88	164	142	91	243	46	47
Rarres1	2	1	1	4	4	2	4	5
Rarres2	1	5	0	5	4	0	0	1
Rars	252	257	191	196	194	374	253	375
Rars2	182	123	111	100	91	138	97	124
Rasa1	181	132	205	198	192	184	120	112
Rasa2	230	225	178	199	205	192	110	139
Rasa3	2005	1395	1804	1637	946	2245	486	551
Rasa4	806	759	847	715	662	1328	264	294
Rasal1	0	3	1	1	2	2	0	1
Rasal2	35	47	32	16	23	4	9	24
Rasal3	294	187	154	170	184	204	153	180
Rasd1	0	0	3	1	1	1	0	1
Rasd2	1	1	1	3	0	3	0	4
Rasef	1	12	3	9	6	0	1	1
Rasgef1a	1	5	1	13	8	7	2	2
Rasgef1b	117	163	181	208	162	130	78	107
Rasgef1c	0	8	4	9	4	2	1	4
Rasgrf1	8	9	17	24	10	14	11	2
Rasgrf2	94	69	85	83	48	77	39	23
Rasgrp1	605	477	607	608	433	156	458	386
Rasgrp2	215	113	135	147	104	142	21	20
Rasgrp3	24	104	96	58	27	0	5	25
Rasgrp4	635	544	531	465	329	558	113	104
Rasip1	0	2	7	1	0	2	4	0
Rasl10a	1	0	0	7	1	0	0	1
Rasl10b	1	0	2	0	1	2	0	0
Rasl11a	0	0	0	0	1	5	0	0
Rasl11b	2	2	5	3	0	0	0	0
Rasl12	12	0	9	3	2	6	1	0
Rasl2-9	2	6	3	15	5	0	5	2
Rassf1	191	104	137	157	113	179	70	68
Rassf10	0	0	0	2	2	1	0	1
Rassf2	336	372	290	284	273	650	302	305
Rassf3	152	117	195	140	130	200	47	55
Rassf4	3959	3202	3467	2745	2312	6608	1112	1027
Rassf5	3039	2379	2783	2351	1536	2266	876	769
Rassf6	0	2	10	1	0	1	1	1
Rassf7	26	21	29	13	19	10	12	19
Rassf8	22	16	24	14	31	23	37	45
Rassf9	2	26	22	14	9	5	1	5
Raver1	0	2	1	0	0	4	0	2
Raver2	18	12	19	18	14	16	12	6
Rax	0	0	1	0	0	0	0	0
Rb1	656	389	433	704	433	344	148	155
Rb1cc1	275	224	280	339	276	269	122	132
Rbak	158	90	127	123	45	177	55	47
Rbbp4	365	393	397	323	178	436	194	226
Rbbp5	341	258	292	215	179	280	103	127
Rbbp6	290	246	335	231	276	333	250	137
Rbbp7	503	474	413	404	255	245	292	298
Rbbp8	256	221	203	246	175	343	155	180
Rbbp8nl	0	0	2	1	1	0	0	3
Rbbp9	114	45	42	94	59	112	61	57
Rbck1	963	777	755	708	555	1077	464	356
Rbfa	222	204	200	186	159	416	146	119
Rbfox1	1	5	9	2	7	0	4	0
Rbfox2	17	12	7	2	5	0	2	4
Rbfox3	6	4	2	3	1	0	0	2
Rbks	130	77	73	89	43	298	52	35
Rbl1	317	204	176	211	155	172	109	123
Rbl2	333	241	303	258	170	385	177	105
Rbm10	97	129	140	66	62	123	76	62
Rbm11	11	5	7	2	0	7	2	0
Rbm12	112	64	105	69	79	100	62	65
Rbm12b1	21	9	27	14	19	28	6	5
Rbm12b2	52	47	70	42	51	66	25	20
Rbm14	166	91	93	120	99	136	52	96
Rbm15	341	265	304	270	186	294	142	153
Rbm15b	76	60	51	49	54	105	54	37
Rbm17	245	252	244	215	163	407	173	158
Rbm18	308	264	338	238	213	374	163	157
Rbm19	85	87	79	93	52	89	49	60
Rbm20	5	5	14	5	6	0	8	1
Rbm22	275	156	208	166	162	274	92	101
Rbm24	5	2	0	6	0	1	0	0
Rbm25	1280	1145	1020	1216	795	1035	746	586
Rbm26	416	294	280	265	243	357	217	135
Rbm27	316	177	317	246	183	317	110	117
Rbm28	228	224	241	200	188	216	122	117
Rbm3	585	503	602	522	404	834	726	603
Rbm31y	0	0	0	0	0	0	0	0
Rbm33	264	265	327	273	241	303	125	96
Rbm34	115	139	92	102	80	118	84	92
Rbm38	283	133	185	130	110	355	49	32
Rbm39	2631	1860	2400	2207	1711	3243	1180	987
Rbm4	60	79	65	84	63	72	34	27
Rbm41	117	85	117	88	90	231	42	44
Rbm42	1	4	4	1	3	1	0	0
Rbm43	224	206	159	168	117	219	91	72
Rbm44	13	6	3	13	25	0	4	3
Rbm45	25	22	24	41	24	22	12	13
Rbm46	6	12	0	0	4	0	0	0
Rbm47	770	380	631	478	398	812	330	290
Rbm48	98	71	77	70	45	89	39	34
Rbm4b	601	413	519	493	357	596	227	128
Rbm5	1611	1332	1574	1347	966	1649	608	577
Rbm6	853	674	732	720	514	709	286	358
Rbm7	905	674	784	711	568	1231	596	507
Rbm8a	363	245	315	220	204	468	151	177
Rbm8a2	5	3	2	4	0	3	2	0
Rbms1	1501	1001	813	1299	914	1143	510	708
Rbms2	99	70	81	82	56	59	48	51
Rbms3	19	20	33	9	6	7	5	13
Rbmx	318	337	315	282	157	330	155	174
Rbmx2	67	31	45	29	18	32	21	22
Rbmxl1	59	48	53	43	26	52	34	40
Rbmxl2	0	0	0	0	0	0	0	0
Rbmy1a1	0	0	0	0	0	0	0	0
Rbp1	2	2	3	1	1	0	0	2
Rbp2	0	0	1	2	0	0	0	0
Rbp3	0	5	8	11	0	0	1	0
Rbp4	0	0	0	1	4	1	0	1
Rbp7	3	0	2	1	0	1	1	0
Rbpj	273	264	290	234	171	236	233	235
Rbpjl	3	2	1	3	0	0	0	4
Rbpms	340	220	338	249	262	126	43	59
Rbpms2	1	2	6	0	2	3	1	2
Rbsn	177	151	132	182	110	223	108	107
Rbx1	283	172	190	161	140	351	146	154
Rc3h1	577	451	513	650	523	725	233	248
Rc3h2	525	475	450	576	433	496	236	213
Rcan1	719	376	427	330	281	77	105	118
Rcan2	6	3	21	4	0	0	2	0
Rcan3	62	63	58	84	70	132	108	102
Rcbtb1	120	89	108	124	91	89	78	97
Rcbtb2	463	392	410	476	309	392	351	263
Rcc1	98	78	83	39	42	128	86	91
Rcc1l	44	28	25	42	60	26	30	38
Rcc2	154	125	146	147	112	164	100	94
Rccd1	35	18	32	8	3	6	17	17
Rce1	143	107	133	138	115	122	79	128
Rchy1	352	290	273	311	259	518	136	183
Rcl1	77	73	56	54	63	60	37	70
Rcn1	18	24	6	11	5	28	8	8
Rcn2	256	175	237	220	195	362	274	267
Rcn3	79	21	41	34	24	9	34	27
Rcor1	96	84	59	78	32	96	82	86
Rcor2	2	2	0	0	0	3	1	0
Rcor3	77	87	72	48	58	81	38	41
Rcsd1	443	415	416	441	286	957	316	276
Rcvrn	2	1	0	7	0	0	0	1
Rd3	0	0	0	0	0	0	0	0
Rd3l	0	0	0	0	0	0	0	0
Rdh1	0	2	6	1	1	2	0	2
Rdh10	89	68	62	110	44	80	10	12
Rdh11	91	72	89	105	60	102	59	73
Rdh12	17	14	19	16	7	2	5	5
Rdh13	75	50	54	54	70	141	94	77
Rdh14	104	95	73	82	54	70	41	77
Rdh16	2	7	13	14	1	1	3	1
Rdh16f1	0	0	0	0	0	0	0	0
Rdh16f2	4	2	2	0	0	0	1	0
Rdh19	2	0	4	13	0	1	0	0
Rdh5	14	6	19	11	13	25	11	10
Rdh7	0	0	0	2	0	0	0	0
Rdh8	2	1	2	0	1	0	0	0
Rdh9	0	0	4	1	0	0	1	0
Rdm1	77	76	77	54	63	62	29	32
Rdx	556	373	451	434	353	686	299	304
Rec114	22	12	21	31	8	42	7	4
Rec8	4	14	2	0	1	0	1	1
Reck	21	18	11	19	1	1	3	4
Recql	253	123	177	108	104	120	55	70
Recql4	10	2	17	26	6	15	4	8
Recql5	281	248	210	182	89	218	68	76
Reep1	8	9	6	12	1	3	3	1
Reep2	7	5	2	2	1	0	5	0
Reep3	200	130	120	202	195	548	198	196
Reep4	168	168	211	121	132	201	105	114
Reep5	1147	892	814	944	744	1862	800	908
Reep6	3	0	0	5	0	0	2	1
Reg1	4	2	6	1	4	12	1	0
Reg2	1	2	10	0	0	3	0	0
Reg3a	0	1	3	0	1	0	1	0
Reg3b	0	0	5	0	0	0	0	0
Reg3d	2	5	1	2	1	1	0	0
Reg3g	1	7	1	0	1	2	0	1
Reg4	2	3	1	1	1	0	0	0
Rel	2110	1532	2671	1625	1414	1925	480	402
Rela	662	593	431	430	411	503	202	229
Relb	377	403	343	275	298	377	104	127
Rell1	171	167	113	161	161	415	128	143
Rell2	0	1	0	1	0	3	0	0
Reln	14	11	50	27	9	10	8	9
Relt	777	519	514	566	335	856	372	328
Rem1	12	14	8	5	7	67	4	0
Rem2	0	0	3	2	0	0	1	0
Ren1	2	5	4	1	0	1	0	0
Renbp	166	145	129	175	259	249	332	437
Rep15	1	3	2	0	0	0	1	2
Repin1	100	39	38	23	47	67	25	22
Reps1	45	96	91	94	60	94	66	46
Reps2	10	13	38	40	26	18	11	9
Rer1	854	650	710	640	508	1103	534	488
Rere	424	283	512	384	312	752	118	109
Rerg	1	8	4	8	1	0	1	0
Rergl	0	0	8	0	0	0	0	0
Resp18	0	0	0	0	0	2	0	0
Rest	297	217	204	291	218	311	165	193
Ret	11	18	2	6	0	8	1	0
Retn	3	1	4	2	2	0	0	2
Retnla	1096	348	718	1025	542	0	4	176
Retnlb	0	1	0	0	0	0	0	2
Retnlg	5	0	1	4	1	43	1	0
Retreg2	197	117	151	192	122	133	67	83
Retreg3	262	258	307	247	193	390	118	107
Retsat	61	43	61	57	34	101	39	46
Rev1	52	33	47	59	20	44	18	29
Rev3l	201	128	98	87	72	186	68	47
Rex1bd	145	101	109	100	82	155	84	109
Rex2	0	1	2	0	0	1	0	0
Rexo1	527	370	366	338	252	466	154	128
Rexo2	324	166	203	254	174	329	166	282
Rexo4	234	221	172	130	121	276	94	121
Rexo5	73	57	63	73	37	22	18	30
Rfc1	246	254	313	306	164	239	122	193
Rfc2	431	268	319	318	231	477	150	209
Rfc3	97	47	69	76	56	45	66	71
Rfc4	70	68	72	43	29	42	43	42
Rfc5	120	116	83	78	108	85	75	116
Rfesd	111	85	92	103	61	77	47	51
Rffl	212	167	170	257	143	265	108	137
Rfk	422	282	309	265	234	522	231	261
Rflna	58	46	52	5	23	34	15	8
Rflnb	13	7	5	10	4	7	5	9
Rfng	129	97	104	64	51	81	55	52
Rfpl4	1	1	1	6	2	1	2	2
Rfpl4b	1	0	4	1	1	0	0	0
Rft1	208	122	136	147	94	193	87	92
Rftn1	600	579	491	611	464	797	392	432
Rftn2	24	10	26	15	23	20	6	18
Rfwd3	215	197	254	205	121	211	80	81
Rfx1	97	111	120	127	95	135	43	44
Rfx2	32	41	63	70	30	350	2	21
Rfx3	158	134	109	141	76	203	20	37
Rfx4	8	2	5	1	2	0	1	5
Rfx5	33	29	20	48	34	21	21	15
Rfx6	15	2	8	14	3	1	2	1
Rfx7	150	145	177	156	112	137	60	50
Rfx8	3	1	3	3	1	5	0	0
Rfxank	81	57	65	67	50	70	29	22
Rfxap	21	16	20	11	11	13	9	6
Rgcc	19	6	21	14	24	12	44	116
Rgl1	41	81	104	142	75	19	44	90
Rgl2	545	365	389	369	314	539	208	256
Rgl3	7	6	19	13	2	0	6	7
Rgma	0	0	4	3	4	0	2	0
Rgmb	31	10	58	80	57	19	18	23
Rgn	0	0	0	3	0	1	0	0
Rgp1	141	134	125	152	93	145	70	59
Rgr	1	4	10	14	6	5	2	2
Rgs1	138	177	92	97	317	0	1153	1031
Rgs10	265	248	250	347	306	777	411	455
Rgs11	13	13	12	7	0	8	22	24
Rgs12	34	53	28	14	18	2	22	9
Rgs13	7	1	2	9	0	2	0	0
Rgs14	702	446	521	436	385	1070	163	245
Rgs16	2	6	5	0	5	3	0	2
Rgs17	1	8	16	25	8	3	0	3
Rgs18	208	136	174	152	76	340	50	46
Rgs19	1121	944	880	967	678	1309	577	594
Rgs2	2193	1886	1728	1614	1208	2499	677	528
Rgs20	1	4	15	4	3	2	1	0
Rgs21	10	4	5	6	2	0	2	1
Rgs22	6	12	20	10	2	0	1	3
Rgs3	164	154	128	131	78	134	22	23
Rgs4	0	10	2	0	5	1	2	1
Rgs5	1	12	0	2	1	1	1	0
Rgs6	13	6	5	4	4	2	0	1
Rgs7	3	30	0	26	2	4	3	6
Rgs7bp	6	21	6	25	2	3	11	8
Rgs8	0	4	12	1	2	0	1	0
Rgs9	15	6	5	11	1	7	4	1
Rgs9bp	1	13	1	1	0	3	0	0
Rgsl1	2	14	17	14	8	0	1	4
Rhag	8	10	8	9	1	0	1	0
Rhbdd1	243	226	244	245	174	230	158	116
Rhbdd2	52	67	74	102	38	49	29	42
Rhbdd3	16	37	28	20	13	22	48	39
Rhbdf1	3	20	9	10	9	14	10	8
Rhbdf2	400	279	314	247	288	478	226	263
Rhbdl1	1	0	0	0	1	1	0	0
Rhbdl2	1	1	3	7	2	1	2	1
Rhbdl3	2	1	2	7	2	4	1	3
Rhbg	0	0	0	0	0	0	0	0
Rhcg	0	0	3	2	0	0	0	1
Rhd	1	2	2	7	4	11	2	2
Rheb	579	417	389	495	377	551	338	382
Rhebl1	42	35	47	59	31	73	26	12
Rhno1	54	57	59	43	40	36	17	23
Rho	0	8	11	8	0	0	0	0
Rhoa	3481	2321	2534	2434	1731	2864	1153	1685
Rhob	82	39	52	54	78	76	26	44
Rhobtb1	6	9	9	16	12	0	20	10
Rhobtb2	42	43	52	29	24	29	28	12
Rhobtb3	5	11	9	13	6	11	2	4
Rhoc	25	8	12	16	24	6	83	153
Rhod	0	3	1	1	0	1	0	2
Rhof	437	352	228	298	239	83	49	40
Rhog	1662	1210	1231	1197	861	2244	736	762
Rhoh	170	169	149	181	104	219	196	216
Rhoj	16	10	10	10	8	1	5	4
Rhoq	330	275	374	279	223	176	123	114
Rhot1	392	403	369	324	272	518	282	301
Rhot2	52	32	54	39	30	40	21	13
Rhou	4	4	8	11	0	11	10	32
Rhov	1	2	0	5	4	2	15	29
Rhox1	0	1	2	1	0	0	0	0
Rhox10	0	1	1	0	0	3	0	0
Rhox11	2	1	4	0	1	0	1	0
Rhox12	0	1	0	0	1	0	0	0
Rhox13	0	2	0	0	0	0	0	0
Rhox2a	0	0	2	0	1	1	0	0
Rhox2b	0	0	0	0	0	0	0	0
Rhox2c	0	0	1	0	0	0	0	0
