	Mo.Ly6C-.Bl#1	Mo.Ly6C-.Bl#2	Mo.Ly6C-.Bl#3	Mo.Ly6C-.Bl.KPd17#1	Mo.Ly6C-.Bl.KPd17#2	Mo.Ly6C-.Bl.KPd17#3	Mo.Ly6C-Bl.KPd28#1	Mo.Ly6C-Bl.KPd28#2	Mo.Ly6C-Bl.KPd28#3
Slc19a2	31	61	36	36	48	39	34	73	52
Slc19a3	0	4	3	5	2	0	1	5	1
Slc1a1	0	3	0	2	2	0	11	5	11
Slc1a2	4	30	4	21	17	10	25	17	24
Slc1a3	5	28	27	11	14	0	17	15	23
Slc1a4	12	20	1	17	16	10	23	9	6
Slc1a5	893	575	411	682	567	337	454	598	649
Slc1a6	6	9	0	0	0	0	2	3	9
Slc1a7	0	3	0	1	4	0	3	2	0
Slc20a1	145	194	179	130	128	115	150	186	209
Slc20a2	93	70	27	97	68	75	43	66	76
Slc22a1	3	7	1	4	0	3	2	2	0
Slc22a12	0	0	0	0	0	0	0	0	0
Slc22a13	0	1	0	8	0	2	5	1	0
Slc22a14	0	7	2	10	3	1	1	0	0
Slc22a15	250	182	29	210	234	145	112	159	218
Slc22a16	2	4	0	4	0	0	2	2	2
Slc22a17	7	5	135	4	2	3	3	5	4
Slc22a18	21	32	167	12	7	4	9	27	16
Slc22a19	2	10	2	17	6	4	9	15	9
Slc22a2	4	6	2	8	6	1	1	6	2
Slc22a20	0	6	8	3	0	1	1	4	2
Slc22a21	37	34	18	24	23	17	21	35	43
Slc22a22	3	9	3	1	10	0	5	3	9
Slc22a23	2	17	1	26	11	5	5	5	8
Slc22a26	6	1	3	7	6	5	3	7	1
Slc22a27	3	6	1	2	0	0	5	2	0
Slc22a28	3	11	3	7	7	3	7	9	6
Slc22a29	2	9	0	5	0	3	3	5	3
Slc22a3	0	6	3	8	2	0	9	4	2
Slc22a30	2	3	0	4	7	0	0	1	6
Slc22a4	8	20	2	9	9	7	15	30	20
Slc22a5	56	59	62	59	60	43	35	41	57
Slc22a6	1	7	2	6	0	0	1	11	5
Slc22a7	1	0	0	2	0	9	1	2	0
Slc22a8	6	6	2	2	1	0	8	1	1
Slc23a1	13	19	4	17	10	23	2	12	9
Slc23a2	144	128	844	179	141	136	149	169	128
Slc23a3	1	6	2	14	13	5	2	4	7
Slc23a4	1	2	2	4	10	0	5	2	5
Slc24a1	12	24	11	12	42	19	17	11	7
Slc24a2	4	31	3	22	18	5	7	24	19
Slc24a3	2	9	0	2	2	3	2	8	16
Slc24a4	6	9	2	5	1	0	6	4	3
Slc24a5	6	3	0	10	1	1	4	16	12
Slc25a1	551	186	534	252	217	161	110	153	172
Slc25a10	69	112	99	75	54	32	36	73	59
Slc25a11	1731	913	952	922	646	395	447	625	626
Slc25a12	634	296	235	377	307	292	209	361	314
Slc25a13	75	77	69	79	76	58	63	128	92
Slc25a14	80	27	30	44	25	22	24	36	23
Slc25a15	3	16	70	38	24	11	22	37	24
Slc25a16	49	55	50	49	72	67	22	67	84
Slc25a17	423	243	220	222	225	183	126	257	205
Slc25a18	21	21	12	26	25	11	10	3	12
Slc25a19	228	97	96	85	92	67	95	55	86
Slc25a2	11	13	8	5	13	10	8	3	11
Slc25a20	418	235	332	178	204	190	204	224	253
Slc25a21	4	3	4	8	12	0	16	8	2
Slc25a22	100	88	132	127	123	117	61	99	137
Slc25a23	4	9	0	2	7	1	3	13	5
Slc25a24	155	183	586	238	201	97	150	286	238
Slc25a25	163	239	214	195	180	106	173	159	189
Slc25a26	32	48	30	60	41	18	8	32	33
Slc25a27	45	24	4	40	29	35	11	15	46
Slc25a28	131	54	39	68	46	33	37	107	42
Slc25a29	7	16	6	10	3	9	8	8	16
Slc25a3	5915	3152	4014	3134	2863	1961	2441	3814	3027
Slc25a30	171	166	262	279	283	145	207	228	217
Slc25a31	4	6	4	5	9	0	1	2	4
Slc25a32	16	13	11	15	8	6	17	17	10
Slc25a33	16	4	15	6	5	4	14	7	21
Slc25a34	0	7	1	2	0	2	5	0	3
Slc25a35	45	26	14	29	20	19	17	33	30
Slc25a36	596	592	989	556	528	423	445	635	560
Slc25a37	349	404	141	578	513	444	258	313	405
Slc25a38	449	248	97	313	288	222	156	218	299
Slc25a39	558	250	611	262	247	247	166	233	241
Slc25a4	161	57	990	69	56	55	76	171	98
Slc25a40	66	67	112	76	50	31	40	50	71
Slc25a41	4	1	2	0	4	0	0	4	1
Slc25a42	7	8	29	10	4	6	5	7	12
Slc25a43	54	36	68	32	31	26	16	38	35
Slc25a44	246	191	188	150	237	140	124	199	216
Slc25a45	1045	1034	252	901	924	579	623	529	885
Slc25a46	349	480	545	460	400	239	284	389	371
Slc25a47	1	3	7	5	15	0	1	1	12
Slc25a48	0	5	0	2	0	0	0	0	5
Slc25a5	3164	1301	3793	1430	1443	1032	958	1424	1505
Slc25a51	346	207	232	327	262	160	210	222	232
Slc25a53	35	36	34	40	33	23	27	30	27
Slc25a54	1	13	2	3	0	2	9	7	4
Slc26a1	9	14	7	8	6	7	6	10	8
Slc26a10	86	97	24	102	98	117	46	54	66
Slc26a11	174	93	6	96	100	53	78	56	77
Slc26a2	398	422	199	535	507	307	325	365	462
Slc26a3	3	9	0	22	15	3	8	14	8
Slc26a4	4	8	1	7	14	1	2	8	7
Slc26a5	12	12	4	1	16	8	9	3	6
Slc26a6	22	16	21	25	29	7	13	6	25
Slc26a7	3	16	6	36	6	4	11	10	10
Slc26a8	2	14	1	4	9	1	4	9	1
Slc26a9	3	14	6	7	5	8	9	6	4
Slc27a1	17	23	291	8	7	6	23	107	50
Slc27a2	5	9	1	10	3	5	4	7	9
Slc27a3	1	3	3	0	2	0	3	2	9
Slc27a4	73	32	79	36	69	73	20	46	65
Slc27a5	3	8	1	7	7	2	2	5	9
Slc27a6	4	4	2	7	3	0	4	9	4
Slc28a1	1	4	0	8	7	3	0	4	3
Slc28a2	126	127	1	84	87	59	133	176	91
Slc28a3	10	15	2	17	21	4	3	16	10
Slc29a1	954	606	1366	518	525	346	245	284	422
Slc29a2	13	10	23	27	5	6	2	6	23
Slc29a3	116	154	230	148	88	88	114	184	149
Slc29a4	0	7	0	9	0	0	1	3	3
Slc2a1	210	98	70	99	101	63	87	177	169
Slc2a10	2	8	2	17	8	1	2	6	0
Slc2a12	9	9	0	32	20	10	1	13	8
Slc2a13	5	6	1	5	5	4	6	17	13
Slc2a2	1	18	0	11	3	0	10	6	0
Slc2a3	46	28	7	48	10	21	76	119	24
Slc2a4	1	3	2	1	1	0	1	5	0
Slc2a5	4	2	1	1	1	0	2	4	10
Slc2a6	1754	1023	39	1372	981	1011	686	524	550
Slc2a7	1	4	2	6	0	5	2	1	0
Slc2a8	75	53	167	67	47	43	53	77	60
Slc2a9	74	76	59	104	75	23	33	83	68
Slc30a1	0	0	0	0	0	0	1	0	0
Slc30a10	1	0	2	11	5	3	0	3	8
Slc30a2	3	8	1	0	3	0	4	1	5
Slc30a3	1	8	3	7	1	2	1	5	5
Slc30a4	0	1	0	0	1	2	1	2	3
Slc30a5	392	315	200	399	497	297	146	373	477
Slc30a6	212	106	102	73	92	55	73	88	114
Slc30a7	542	448	641	617	648	425	361	570	465
Slc30a8	0	14	0	8	3	2	4	5	8
Slc30a9	239	267	191	345	298	261	163	254	346
Slc31a1	449	382	237	283	292	202	195	564	333
Slc31a2	332	170	483	258	220	137	177	308	209
Slc32a1	0	0	0	0	0	0	0	0	0
Slc33a1	143	170	185	202	165	85	85	148	154
Slc34a1	3	5	1	3	17	12	4	0	4
Slc34a2	16	9	7	13	4	10	5	2	7
Slc34a3	1	0	0	2	4	0	0	0	6
Slc35a1	333	171	305	93	131	86	123	125	186
Slc35a2	79	61	63	71	56	40	48	68	59
Slc35a3	173	229	152	206	264	164	132	229	217
Slc35a4	509	294	413	370	359	281	251	358	337
Slc35a5	240	318	356	290	243	204	196	312	346
Slc35b1	634	276	436	349	352	217	264	326	411
Slc35b2	575	363	486	345	333	246	224	222	317
Slc35b3	379	250	452	257	264	151	137	255	279
Slc35b4	233	283	462	297	268	190	210	218	292
Slc35c1	334	440	433	400	421	263	265	291	320
Slc35c2	1568	1022	899	955	969	591	560	589	722
Slc35d1	44	43	42	78	68	18	43	15	46
Slc35d2	241	149	92	68	96	67	103	126	93
Slc35d3	1	5	0	11	4	1	2	0	8
Slc35e1	195	191	127	190	197	158	90	178	167
Slc35e2	231	213	135	178	152	157	83	162	145
Slc35e3	30	16	10	25	24	22	24	10	12
Slc35e4	121	71	110	82	100	45	52	103	98
Slc35f1	0	9	0	13	6	1	2	0	0
Slc35f2	4	4	1	5	1	0	5	7	5
Slc35f3	0	2	0	1	5	0	3	4	0
Slc35f4	5	16	3	5	12	3	4	19	9
Slc35f5	197	154	291	83	138	90	99	177	118
Slc35f6	489	370	937	322	353	264	254	369	366
Slc35g1	5	1	11	2	2	3	5	0	0
Slc35g2	3	3	1	12	3	4	8	5	3
Slc35g3	0	0	4	1	0	1	1	0	5
Slc36a1	52	42	96	58	68	42	56	70	55
Slc36a2	3	10	3	4	5	1	1	5	8
Slc36a3	21	10	1	10	10	6	19	8	17
Slc36a4	76	90	477	63	130	73	72	146	81
Slc37a1	103	155	105	155	150	117	60	85	80
Slc37a2	53	16	75	30	24	7	50	42	39
Slc37a3	217	290	159	255	281	126	214	239	310
Slc37a4	249	155	156	132	136	92	106	143	158
Slc38a1	1285	959	704	767	920	612	654	753	1029
Slc38a10	330	484	626	597	444	300	313	470	521
Slc38a11	15	25	1	10	5	0	4	13	10
Slc38a2	319	605	652	651	824	435	602	376	725
Slc38a3	1	5	1	17	3	1	4	4	4
Slc38a4	3	24	3	13	8	5	4	16	21
Slc38a5	0	1	0	4	0	0	0	4	0
Slc38a6	61	25	122	22	22	23	20	48	31
Slc38a7	121	75	295	93	51	74	78	79	99
Slc38a8	5	5	0	2	6	12	2	0	1
Slc38a9	768	528	335	647	686	377	409	531	564
Slc39a1	186	148	607	177	134	139	130	177	153
Slc39a10	53	176	664	157	159	91	90	130	172
Slc39a11	158	168	400	164	188	97	93	230	200
Slc39a12	3	17	52	4	17	3	7	8	8
Slc39a13	467	296	213	355	314	198	159	222	185
Slc39a14	10	16	107	12	6	1	17	18	7
Slc39a2	3	9	1235	10	2	1	0	6	11
Slc39a3	118	118	139	173	128	99	68	114	112
Slc39a4	8	13	0	18	2	5	6	9	5
Slc39a5	0	4	0	0	2	3	0	3	5
Slc39a6	229	133	161	97	106	104	138	147	151
Slc39a7	8	9	11	9	10	9	6	15	1
Slc39a8	8	14	6	14	2	0	7	22	15
Slc39a9	302	351	360	445	312	272	200	252	338
Slc3a1	6	5	6	17	12	6	4	1	10
Slc3a2	596	236	1229	345	395	259	305	487	350
Slc40a1	6	56	77	6	42	18	146	123	6
Slc41a1	135	114	204	203	163	108	162	117	108
Slc41a2	20	18	100	12	4	2	5	44	5
Slc41a3	488	275	169	306	295	232	195	305	310
Slc43a1	3	18	0	10	4	3	12	5	9
Slc43a2	648	405	261	446	517	384	327	466	457
Slc43a3	23	21	68	9	8	8	19	13	23
Slc44a1	92	85	30	43	46	38	56	72	72
Slc44a2	4348	5629	464	5923	5770	3541	3339	2974	4479
Slc44a3	1	14	1	13	6	2	0	12	8
Slc44a4	4	7	2	3	6	0	1	5	5
Slc44a5	8	10	7	3	3	2	13	10	12
Slc45a1	10	6	5	15	3	3	2	4	10
Slc45a2	4	5	2	5	8	0	4	2	3
Slc45a3	0	2	0	1	5	4	0	2	2
Slc45a4	113	36	57	46	43	27	35	58	50
Slc46a1	29	8	18	0	9	2	1	2	1
Slc46a2	11	17	10	12	12	17	10	7	15
Slc46a3	1635	1584	89	1252	1242	925	398	344	579
Slc47a1	3	6	0	5	1	0	2	5	8
Slc47a2	0	5	0	3	4	1	3	1	1
Slc48a1	621	412	1657	422	343	284	275	658	454
Slc4a1	2	2	1	16	6	0	2	30	0
Slc4a10	5	34	0	27	26	8	19	21	26
Slc4a11	11	11	25	8	18	4	7	11	15
Slc4a1ap	240	96	104	201	135	109	125	182	153
Slc4a2	143	144	262	158	157	93	112	121	140
Slc4a3	3	17	0	6	10	0	7	8	2
Slc4a4	7	15	3	34	7	10	12	21	13
Slc4a5	12	10	2	15	9	6	8	20	10
Slc4a7	389	314	137	422	313	222	179	319	274
Slc4a8	29	20	10	46	12	2	18	29	9
Slc4a9	0	2	0	2	1	3	0	4	6
Slc50a1	508	231	240	315	189	202	128	243	226
Slc51a	1	0	1	7	8	2	2	6	2
Slc51b	0	1	0	1	0	0	0	0	0
Slc52a2	78	125	148	155	130	95	68	98	113
Slc52a3	26	18	576	23	23	7	79	190	194
Slc5a1	4	26	2	9	12	0	6	5	10
Slc5a10	2	4	0	9	0	0	0	4	1
Slc5a11	343	216	0	188	259	148	65	81	159
Slc5a12	14	25	3	9	0	1	9	11	5
Slc5a2	4	5	0	5	2	12	6	5	7
Slc5a3	120	100	532	135	167	79	126	136	172
Slc5a4a	2	4	1	5	0	2	4	4	6
Slc5a4b	2	14	5	10	4	1	6	13	5
Slc5a5	0	7	0	3	2	2	3	9	2
Slc5a6	13	34	107	16	30	4	20	16	40
Slc5a7	3	15	2	11	7	7	3	11	14
Slc5a8	4	6	3	35	18	0	7	15	15
Slc5a9	5	24	4	2	10	0	8	6	10
Slc6a1	1	11	3	19	10	5	11	9	24
Slc6a11	4	9	2	12	3	0	1	5	14
Slc6a12	98	156	2	125	74	72	35	14	15
Slc6a13	28	22	1	27	16	12	10	12	14
Slc6a14	0	1	2	1	2	4	2	4	1
Slc6a15	1	4	6	20	7	13	19	19	7
Slc6a16	1	4	4	3	2	0	1	1	10
Slc6a17	5	20	2	7	8	4	1	9	7
Slc6a18	2	19	0	3	7	0	6	7	8
Slc6a19	4	6	5	5	5	5	4	1	8
Slc6a2	4	11	5	22	12	2	6	8	7
Slc6a20a	2	9	3	14	2	2	0	11	11
Slc6a20b	10	12	8	25	12	7	17	27	20
Slc6a21	3	5	4	9	5	3	9	3	9
Slc6a3	5	15	1	15	13	1	3	19	2
Slc6a4	4	23	821	18	18	9	3	12	7
Slc6a5	5	10	0	3	1	4	9	2	2
Slc6a6	1960	1128	4679	1433	1506	946	1123	1561	1460
Slc6a7	1	8	0	9	0	0	5	5	3
Slc6a8	12	14	1	6	12	15	8	11	8
Slc6a9	1	3	3	3	2	2	1	6	8
Slc7a1	231	226	104	172	176	112	112	146	142
Slc7a10	3	2	0	3	2	1	0	5	3
Slc7a11	36	56	145	78	32	37	50	115	49
Slc7a12	0	3	3	0	3	4	1	2	0
Slc7a13	2	9	0	8	2	1	2	7	3
Slc7a14	4	19	0	10	19	13	9	14	19
Slc7a15	3	4	1	9	2	0	5	0	2
Slc7a2	1	29	3380	17	9	3	5	115	6
Slc7a3	1	8	3	0	8	0	2	0	5
Slc7a4	1	10	13	4	23	0	1	4	5
Slc7a5	5	4	63	2	9	3	3	10	2
Slc7a6	217	133	115	157	142	108	125	145	161
Slc7a6os	231	125	116	152	110	115	80	101	119
Slc7a7	355	123	373	197	108	147	97	142	185
Slc7a8	67	89	255	95	64	17	75	261	93
Slc7a9	7	7	2	4	5	6	1	1	4
Slc8a1	720	764	169	807	873	543	451	511	742
Slc8a2	1	0	1	3	0	0	0	1	2
Slc8a3	7	12	0	19	1	2	1	6	10
Slc8b1	675	647	299	718	556	568	395	506	576
Slc9a1	183	234	184	291	222	131	149	162	206
Slc9a2	8	24	165	34	18	21	8	22	23
Slc9a3	4	20	2	5	9	0	4	6	14
Slc9a3r1	503	287	304	306	330	164	274	350	316
Slc9a3r2	8	2	86	19	6	10	27	58	15
Slc9a4	3	10	1581	2	7	0	7	38	4
Slc9a5	2	1	7	6	2	0	2	6	3
Slc9a6	161	178	464	202	258	163	189	137	166
Slc9a7	55	46	343	40	19	8	54	39	41
Slc9a8	340	377	254	346	346	265	252	368	292
Slc9a9	356	265	150	296	212	220	237	250	164
Slc9b1	5	7	3	8	2	3	13	4	5
Slc9b2	5	8	3	17	10	0	2	2	6
Slc9c1	11	14	4	4	11	3	6	10	9
Slco1a1	2	5	2	1	3	2	3	10	12
Slco1a4	12	19	4	28	17	3	9	14	21
Slco1a5	7	9	0	1	8	1	6	24	8
Slco1a6	2	20	1	14	6	4	1	6	1
Slco1b2	6	12	2	17	7	1	9	11	3
Slco1c1	15	4	3	6	6	4	7	3	6
Slco2a1	6	8	2	9	2	6	5	17	14
Slco2b1	1	10	1095	10	1	4	5	19	16
Slco3a1	21	49	6	44	32	21	25	55	44
Slco4a1	3	9	8	10	2	1	2	15	4
Slco4c1	4	6	4	10	5	0	22	15	7
Slco5a1	15	31	6	9	9	11	20	15	23
Slco6c1	2	9	4	8	5	1	4	12	3
Slco6d1	4	12	1	9	6	14	7	13	9
Slf1	106	98	54	104	97	60	65	80	94
Slf2	556	357	390	465	407	397	269	291	397
Slfn1	451	226	12	144	163	151	209	813	393
Slfn14	9	3	3	6	3	0	8	5	0
Slfn2	3446	2169	1344	2116	1719	1387	1497	2724	2595
Slfn3	8	6	19	24	17	16	3	28	8
Slfn4	42	44	53	29	45	37	205	85	37
Slfn5	83	61	1	49	55	81	88	115	68
Slfn8	422	358	33	408	346	398	307	568	354
Slfn9	44	76	87	82	80	61	59	78	23
Slfnl1	8	3	0	0	5	0	4	3	2
Slirp	1	1	1	4	1	1	2	2	0
Slit1	8	7	4	8	15	2	5	10	5
Slit2	40	63	12	90	20	10	27	36	40
Slit3	2	15	3	16	11	2	8	8	5
Slitrk1	0	2	3	0	1	0	3	1	3
Slitrk2	0	3	0	5	2	2	5	0	1
Slitrk3	1	4	0	1	6	4	1	1	2
Slitrk4	1	3	2	8	2	4	2	11	6
Slitrk5	4	14	0	0	5	1	2	3	0
Slitrk6	1	6	0	5	0	8	4	7	6
Slk	650	408	440	502	601	327	349	446	567
Slmap	153	109	167	156	227	107	134	148	149
Sln	2	4	0	2	0	0	1	1	1
Slpi	27	17	1057	8	14	2	118	107	10
Sltm	744	556	357	609	656	492	433	398	479
Slu7	1018	588	386	697	494	319	376	423	424
Slurp1	0	0	2	4	3	0	0	0	0
Slurp2	1	1	0	0	0	2	0	0	0
Slx	0	0	0	3	2	0	0	0	1
Slx1b	85	59	85	59	49	50	29	36	47
Slx4	118	104	92	133	189	105	76	95	122
Slx4ip	120	116	60	193	125	117	89	62	111
Slxl1	0	0	0	0	0	0	0	0	0
Sly	0	0	0	0	0	0	0	0	0
Smad1	121	54	132	72	64	45	50	93	69
Smad2	373	336	318	389	385	230	270	372	345
Smad3	515	532	8	686	583	446	393	433	441
Smad4	298	152	76	194	215	118	168	168	149
Smad5	164	156	131	141	140	92	44	121	75
Smad6	8	1	0	3	0	0	2	5	1
Smad7	16	15	10	17	15	14	23	8	35
Smad9	1	11	2	6	3	0	0	0	18
Smagp	342	182	31	170	195	138	113	101	155
Smap1	46	53	47	34	68	58	29	55	109
Smap2	155	84	155	94	121	85	91	122	103
Smarca1	1	8	0	0	3	0	8	5	10
Smarca2	592	549	339	622	561	481	359	346	485
Smarca4	853	574	522	674	593	407	415	510	569
Smarca5	190	91	147	139	127	108	64	123	113
Smarcad1	148	247	240	263	274	157	152	180	243
Smarcal1	225	144	254	174	141	122	95	120	110
Smarcb1	350	156	327	204	170	118	122	126	200
Smarcc1	112	100	80	103	97	114	86	90	100
Smarcc2	785	601	559	657	557	434	338	457	575
Smarcd1	53	25	25	51	62	45	20	29	34
Smarcd2	321	106	135	172	177	121	112	141	138
Smarcd3	9	13	4	12	1	7	7	1	1
Smarce1	225	194	128	184	174	159	115	172	121
Smc1a	799	679	557	637	578	430	397	388	650
Smc1b	4	11	4	13	0	10	11	8	14
Smc2	169	98	186	139	67	67	64	117	118
Smc3	523	345	320	420	342	300	288	208	404
Smc4	600	484	702	331	435	346	326	346	327
Smc5	280	243	166	308	233	135	192	199	239
Smc6	4584	3072	677	2868	2763	2065	1448	1064	1539
Smchd1	960	858	265	850	888	643	579	697	686
Smco1	0	1	0	6	1	0	4	3	1
Smco2	0	3	1	1	0	0	1	4	5
Smco3	0	0	0	1	1	1	0	1	0
Smco4	2	1	0	0	0	0	1	0	0
Smcp	0	3	0	2	0	0	2	0	3
Smcr8	463	404	352	499	433	363	218	291	348
Smdt1	1029	324	666	335	329	261	253	335	368
Smg1	1136	1453	835	1751	1749	1118	905	1165	1378
Smg5	495	571	384	471	576	333	317	369	560
Smg6	146	200	87	204	175	116	104	97	173
Smg7	475	414	262	438	478	336	318	341	362
Smg8	229	197	165	180	209	91	139	163	144
Smg9	130	117	85	146	122	108	79	123	126
Smgc	2	4	0	5	6	0	4	5	2
Smim1	0	6	0	2	0	0	3	3	9
Smim10l1	234	192	373	177	142	86	117	153	96
Smim10l2a	0	0	0	3	1	2	0	0	0
Smim11	194	87	130	82	97	74	38	45	50
Smim12	341	147	148	149	127	131	85	186	135
Smim13	29	34	117	39	27	40	28	37	49
Smim14	833	545	554	797	595	485	452	599	635
Smim15	944	583	494	566	552	404	356	566	460
Smim17	2	3	0	2	3	4	0	4	1
Smim18	0	7	0	6	2	0	2	5	2
Smim19	80	39	35	31	26	41	19	39	53
Smim20	701	260	221	298	169	157	150	289	227
Smim22	5	5	0	6	2	5	4	7	3
Smim23	0	3	0	0	2	0	0	7	0
Smim24	49	33	53	7	11	8	23	21	18
Smim26	57	23	38	17	24	22	21	15	13
Smim27	33	16	10	18	13	15	3	17	6
Smim3	214	82	132	64	69	42	82	190	82
Smim4	93	29	33	23	27	23	20	47	46
Smim5	15	12	24	19	18	15	8	16	31
Smim6	11	18	8	27	11	15	13	16	12
Smim7	844	497	567	398	391	310	227	425	465
Smim8	150	54	67	85	23	51	46	39	50
Smim9	0	0	1	5	1	1	1	1	0
Smlr1	6	2	5	1	15	3	5	4	3
Smn1	74	71	69	68	52	36	46	78	45
Smndc1	301	225	135	293	174	151	137	197	153
Smo	4	0	1	2	3	1	0	6	8
Smoc1	6	11	8	5	6	3	4	18	7
Smoc2	4	8	0	2	5	2	0	5	7
Smok2a	4	20	1	8	0	2	2	8	1
Smok2b	15	7	1	8	9	4	12	12	8
Smok3a	0	0	0	0	0	0	0	0	0
Smok3b	0	0	0	0	0	0	0	0	0
Smok3c	0	0	0	0	1	0	0	0	0
Smox	131	90	48	70	67	58	55	104	87
Smpd1	367	171	175	172	143	135	103	120	91
Smpd2	216	134	342	100	114	63	64	103	145
Smpd3	4	18	1	4	8	3	6	7	7
Smpd4	154	164	144	218	176	159	113	131	168
Smpd5	13	8	37	14	6	2	9	17	2
Smpdl3a	10981	4805	2545	5850	5569	3984	4577	5867	6662
Smpdl3b	2778	1533	249	1422	1658	1185	718	732	931
Smpx	0	1	0	1	0	0	3	6	5
Smr2	0	1	0	3	1	1	7	9	5
Smr3a	0	0	0	0	0	0	0	0	0
Sms	104	130	33	124	87	86	76	82	89
Smtn	13	17	7	25	21	13	11	32	20
Smtnl1	0	0	0	4	2	0	2	2	2
Smtnl2	4	10	2	11	6	0	4	8	5
Smu1	1491	810	806	698	811	481	559	703	786
Smug1	204	131	78	121	85	69	74	85	95
Smurf1	69	54	82	60	62	46	64	59	63
Smurf2	348	313	185	351	430	245	226	274	309
Smyd1	3	4	0	1	2	0	1	8	1
Smyd2	1	3	11	9	1	0	7	17	2
Smyd3	137	134	136	123	112	99	72	85	110
Smyd4	72	90	75	51	28	39	41	49	33
Smyd5	205	116	172	115	105	130	90	120	120
Snai1	0	0	0	0	0	0	2	0	0
Snai2	0	0	1	3	0	1	0	3	3
Snai3	7	1	7	2	0	0	1	0	2
Snap23	1319	606	1283	818	592	432	689	847	820
Snap25	0	16	5	15	4	6	11	17	9
Snap29	383	241	260	309	326	231	222	235	300
Snap47	77	62	116	36	30	14	19	48	15
Snap91	10	41	7	10	23	8	9	13	14
Snapc1	216	143	79	153	144	87	115	71	99
Snapc2	144	66	99	113	114	33	35	54	72
Snapc3	441	285	176	300	334	198	219	287	323
Snapc4	117	137	71	132	150	71	63	131	119
Snapc5	741	325	347	285	355	175	157	195	283
Snapin	1095	523	767	541	543	400	340	665	481
Snca	4	8	1	6	4	0	2	10	7
Sncaip	6	16	0	10	14	0	2	4	15
Sncb	0	2	0	0	0	0	1	0	0
Sncg	0	0	0	6	0	2	0	0	0
Snd1	945	1040	901	1050	1072	704	762	1022	1238
Sned1	7	26	10	11	21	11	17	13	21
Snf8	198	111	97	140	94	95	53	126	130
Snhg11	6	14	28	8	15	5	6	9	5
Snip1	219	164	146	197	122	99	97	162	109
Snn	0	1	97	4	6	3	4	6	12
Snph	2	4	4	6	5	3	5	15	7
Snrk	422	362	669	344	343	231	258	265	331
Snrnp200	724	1213	957	1191	1048	769	719	864	925
Snrnp25	155	42	101	62	68	26	37	41	40
Snrnp27	373	146	266	155	165	110	128	148	141
Snrnp35	53	18	64	35	28	27	27	31	26
Snrnp40	156	67	71	100	93	72	63	73	90
Snrnp48	705	474	227	473	431	320	312	333	401
Snrnp70	624	359	264	429	359	276	265	318	393
Snrpa	196	128	143	96	105	81	86	129	101
Snrpa1	367	154	154	205	147	108	93	163	165
Snrpb	4616	2035	1575	2128	1965	1480	1182	1380	1626
Snrpb2	393	190	354	183	220	146	138	209	158
Snrpc	101	77	50	64	62	62	40	54	94
Snrpd1	382	162	289	140	112	95	91	122	103
Snrpd2	97	42	76	30	48	32	23	35	29
Snrpd3	425	101	132	82	93	73	71	92	95
Snrpe	640	248	301	188	227	210	145	156	169
Snrpf	7	1	1	2	4	4	8	3	6
Snrpg	183	68	86	68	55	69	39	50	67
Snrpn	0	2	3	6	6	4	9	7	2
Snta1	43	19	16	19	33	51	19	35	47
Sntb1	28	74	1	64	31	30	27	35	34
Sntb2	92	82	115	108	108	72	68	106	122
Sntg1	16	23	6	30	28	15	9	10	18
Sntg2	8	18	6	21	11	2	7	12	11
Sntn	3	5	0	1	3	0	0	5	0
Snu13	169	88	104	80	70	37	39	70	67
Snupn	115	53	92	54	50	36	66	58	42
Snurf	0	0	0	0	0	0	0	0	0
Snw1	653	291	214	339	260	205	160	227	252
Snx1	1750	1020	3723	1196	915	754	769	927	1036
Snx10	1369	999	3515	949	1100	781	626	1091	914
Snx11	227	133	131	151	129	89	108	113	129
Snx12	241	136	226	147	163	104	67	109	139
Snx13	202	366	502	437	378	286	283	377	324
Snx14	195	260	346	239	266	207	149	199	237
Snx15	251	124	174	102	122	65	69	121	75
Snx16	83	37	54	58	37	36	22	55	55
Snx17	1244	678	732	600	619	438	527	593	609
Snx18	228	247	87	294	433	402	113	329	502
Snx19	144	206	269	206	277	110	150	215	195
Snx2	1038	599	1403	662	543	433	526	703	671
Snx20	622	721	87	864	792	693	422	758	841
Snx21	217	104	39	212	129	133	91	111	103
Snx22	2	2	4	6	9	0	25	5	0
Snx24	3	1	167	1	0	0	2	17	1
Snx25	19	6	31	27	19	14	10	33	25
Snx27	258	384	543	435	353	339	203	287	365
Snx29	129	146	116	176	87	91	71	133	129
Snx3	2479	935	2056	1164	800	675	688	849	1040
Snx30	114	77	91	118	96	66	113	101	80
Snx31	4	11	2	9	2	0	1	10	10
Snx32	43	54	39	23	27	38	49	47	27
Snx33	59	92	69	95	64	58	62	45	53
Snx4	800	407	544	420	382	237	329	462	465
Snx5	1437	835	2101	901	714	582	728	1173	1050
Snx6	889	531	703	472	397	274	332	351	417
Snx7	23	26	131	16	18	13	20	26	14
Snx8	54	79	106	53	61	21	71	94	54
Snx9	56	25	124	39	42	30	24	65	94
Soat1	2616	2547	3256	2494	2622	1728	1619	2253	2485
Soat2	36	35	1	38	22	33	47	101	64
Sobp	4	6	1	1	0	0	3	1	7
Socs1	13	9	3	10	10	22	13	22	13
Socs2	10	20	252	28	8	8	10	26	9
Socs3	1114	670	28	1103	1217	651	1118	1038	1298
Socs4	443	368	153	484	462	321	206	339	378
Socs5	139	82	70	106	126	140	94	57	72
