	Mo.Ly6C-.Bl#1	Mo.Ly6C-.Bl#2	Mo.Ly6C-.Bl#3	Mo.Ly6C-.Bl.KPd17#1	Mo.Ly6C-.Bl.KPd17#2	Mo.Ly6C-.Bl.KPd17#3	Mo.Ly6C-Bl.KPd28#1	Mo.Ly6C-Bl.KPd28#2	Mo.Ly6C-Bl.KPd28#3
B3gnt8	82	62	264	73	50	29	24	71	58
B3gnt9	1	0	4	3	7	2	8	6	2
B3gntl1	169	123	139	143	140	106	101	130	103
B430218F22Rik	0	4	0	1	0	0	0	0	0
B430305J03Rik	0	0	0	0	0	0	0	0	0
B430306N03Rik	1034	596	7	527	424	335	312	496	400
B4galnt1	2692	1438	1105	1569	1517	1257	932	852	1224
B4galnt2	7	4	2	1	10	5	9	3	0
B4galnt3	6	7	1	6	3	0	4	0	11
B4galnt4	1	2	0	0	0	0	0	0	3
B4galt1	675	613	1558	722	539	477	541	741	545
B4galt2	0	4	0	6	1	4	4	2	3
B4galt3	343	248	195	268	240	154	143	207	203
B4galt4	64	52	17	11	53	22	41	57	45
B4galt5	564	270	157	389	393	266	200	158	262
B4galt6	23	31	4	26	11	14	34	92	48
B4galt7	131	102	163	96	97	52	46	77	78
B4gat1	101	52	191	62	72	42	51	78	63
B630019K06Rik	5	7	0	3	5	2	4	15	5
B930094E09Rik	0	0	1	6	0	1	0	1	1
B9d1	0	9	7	3	4	0	2	8	0
B9d2	362	181	139	132	151	174	116	166	180
BB014433	0	3	0	2	2	0	1	2	0
BB287469	1	0	0	0	0	0	0	1	0
BC003331	399	265	282	290	176	182	189	218	256
BC003965	250	117	181	130	133	65	67	89	145
BC004004	642	289	537	310	312	185	202	321	351
BC005537	988	687	645	615	748	585	454	685	638
BC005561	119	66	55	61	92	48	41	69	67
BC005624	414	238	210	233	191	181	140	252	218
BC016579	5	11	26	11	9	0	4	8	4
BC017158	100	80	36	97	64	78	36	46	86
BC017643	2266	1083	678	1171	1356	795	790	908	1126
BC022687	7	7	16	3	2	1	6	6	1
BC024063	11	11	13	7	20	1	3	10	7
BC024139	3	5	0	2	0	0	1	1	0
BC024978	79	75	49	128	103	41	56	70	48
BC025446	4	1	1	12	3	0	2	0	1
BC025920	11	11	2	4	7	2	3	3	4
BC027072	1	2	2	11	0	0	3	11	13
BC028528	1051	363	45	437	446	326	287	334	348
BC029722	80	38	42	43	21	23	18	26	52
