	Mo.Ly6C+.Bl.KPd17#3	Mo.Ly6C-Bl.KPd28#1	Mo.Ly6C-Bl.KPd28#2	Mo.Ly6C+.Bl#1	Mo.Ly6C-Bl.KPd28#3	Mo.Ly6C+.Bl#2	Mo.Ly6C+.Bl#3	Mo.Ly6C+.Bl.KPd17#1	Mo.Ly6C+.Bl.KPd28#2	Mo.Ly6C+.Bl.KPd17#2	Mo.Ly6C+.Bl.KPd28#3
Timm50	53.0			354.0		112.0	174.0	51.0	233.0	194.0	311.0
Timm8a1	2.0			5.0		0.0	4.0	2.0	8.0	5.0	6.0
Timm8a2	0.0			0.0		0.0	0.0	0.0	2.0	0.0	3.0
Timm8b	19.0			101.0		28.0	112.0	29.0	100.0	49.0	95.0
Timm9	5.0			81.0		42.0	72.0	32.0	84.0	55.0	81.0
Timmdc1	15.0			86.0		42.0	98.0	20.0	57.0	65.0	104.0
Timp1	0.0			4.0		3.0	2.0	1.0	0.0	0.0	42.0
Timp2	21.0			142.0		40.0	108.0	32.0	77.0	22.0	300.0
Timp3	6.0			0.0		1.0	9.0	3.0	5.0	9.0	14.0
Timp4	3.0			17.0		5.0	5.0	3.0	1.0	6.0	4.0
Tinag	3.0			1.0		2.0	0.0	4.0	1.0	1.0	5.0
Tinagl1	1.0			2.0		4.0	2.0	0.0	5.0	3.0	4.0
Tinf2	46.0			285.0		115.0	219.0	75.0	246.0	222.0	237.0
Tiparp	103.0			438.0		169.0	495.0	127.0	457.0	406.0	624.0
Tipin	15.0			97.0		82.0	88.0	38.0	193.0	110.0	155.0
Tiprl	66.0			384.0		148.0	338.0	89.0	271.0	216.0	325.0
Tirap	60.0			315.0		110.0	307.0	104.0	287.0	148.0	163.0
Tjap1	27.0			136.0		54.0	113.0	49.0	90.0	74.0	113.0
Tjp1	7.0			16.0		18.0	6.0	5.0	7.0	12.0	15.0
Tjp2	12.0			131.0		31.0	54.0	32.0	81.0	91.0	137.0
Tjp3	5.0			22.0		25.0	34.0	3.0	15.0	39.0	46.0
Tk1	18.0			97.0		60.0	68.0	38.0	109.0	85.0	182.0
Tk2	66.0			448.0		186.0	332.0	73.0	349.0	217.0	340.0
Tkfc	0.0			26.0		14.0	22.0	7.0	12.0	9.0	22.0
Tkt	996.0			5212.0		2140.0	4328.0	1398.0	3789.0	3289.0	4583.0
Tktl1	7.0			13.0		12.0	8.0	10.0	37.0	12.0	5.0
Tktl2	0.0			10.0		0.0	1.0	10.0	7.0	2.0	4.0
Tlcd1	3.0			9.0		4.0	12.0	2.0	4.0	9.0	17.0
Tlcd2	2.0			23.0		7.0	24.0	4.0	15.0	12.0	40.0
Tldc1	8.0			93.0		32.0	42.0	5.0	97.0	13.0	43.0
Tldc2	12.0			18.0		17.0	23.0	3.0	27.0	9.0	5.0
Tle1	16.0			82.0		30.0	30.0	22.0	38.0	97.0	160.0
Tle2	1.0			5.0		2.0	16.0	2.0	1.0	6.0	10.0
Tle3	86.0			499.0		156.0	566.0	84.0	411.0	189.0	227.0
Tle4	45.0			149.0		67.0	186.0	58.0	108.0	163.0	238.0
Tle6	0.0			13.0		2.0	10.0	2.0	0.0	0.0	20.0
Tlk1	69.0			281.0		127.0	226.0	71.0	274.0	186.0	344.0
Tlk2	43.0			160.0		80.0	136.0	59.0	152.0	124.0	123.0
Tll1	0.0			5.0		7.0	3.0	3.0	5.0	7.0	12.0
Tll2	1.0			4.0		0.0	2.0	1.0	0.0	7.0	3.0
Tln1	1440.0			8395.0		3610.0	7234.0	2177.0	6316.0	6010.0	6285.0
Tln2	4.0			19.0		12.0	18.0	9.0	20.0	20.0	28.0
Tlnrd1	7.0			116.0		25.0	73.0	12.0	27.0	36.0	50.0
Tlr1	38.0			469.0		98.0	289.0	81.0	367.0	152.0	407.0
Tlr11	6.0			40.0		44.0	27.0	21.0	28.0	2.0	19.0
Tlr12	3.0			1.0		2.0	0.0	1.0	10.0	6.0	192.0
Tlr13	636.0			3223.0		1264.0	2693.0	857.0	3473.0	2661.0	2402.0
Tlr2	180.0			1283.0		483.0	640.0	203.0	887.0	406.0	2105.0
Tlr3	4.0			28.0		19.0	11.0	2.0	20.0	8.0	73.0
Tlr4	65.0			307.0		201.0	316.0	97.0	620.0	280.0	921.0
Tlr5	18.0			123.0		44.0	104.0	20.0	102.0	0.0	67.0
Tlr6	97.0			498.0		222.0	330.0	132.0	542.0	262.0	300.0
Tlr7	388.0			1351.0		775.0	1097.0	747.0	858.0	1399.0	1087.0
Tlr8	201.0			1218.0		600.0	1151.0	328.0	788.0	826.0	1058.0
Tlr9	109.0			526.0		258.0	499.0	123.0	381.0	197.0	316.0
Tlx1	1.0			0.0		0.0	1.0	0.0	1.0	0.0	0.0
Tlx2	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Tlx3	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Tm2d1	35.0			208.0		112.0	192.0	58.0	180.0	174.0	216.0
Tm2d2	141.0			846.0		377.0	719.0	169.0	849.0	288.0	691.0
Tm2d3	16.0			162.0		64.0	131.0	44.0	123.0	71.0	106.0
Tm4sf1	1.0			9.0		7.0	7.0	2.0	4.0	10.0	11.0
Tm4sf19	0.0			0.0		5.0	5.0	1.0	2.0	0.0	39.0
Tm4sf20	0.0			2.0		4.0	0.0	1.0	2.0	3.0	7.0
Tm4sf4	2.0			1.0		1.0	0.0	4.0	0.0	4.0	4.0
Tm4sf5	0.0			2.0		0.0	0.0	0.0	0.0	0.0	17.0
Tm6sf1	95.0			602.0		239.0	602.0	109.0	488.0	340.0	479.0
Tm6sf2	6.0			5.0		2.0	0.0	2.0	1.0	4.0	10.0
Tm7sf2	4.0			68.0		36.0	50.0	26.0	46.0	25.0	37.0
Tm7sf3	41.0			322.0		121.0	237.0	35.0	148.0	55.0	176.0
Tm9sf1	79.0			410.0		182.0	393.0	98.0	426.0	230.0	370.0
Tm9sf2	493.0			2634.0		1170.0	1933.0	720.0	2180.0	1455.0	2181.0
Tm9sf3	134.0			926.0		342.0	676.0	275.0	574.0	399.0	613.0
Tm9sf4	179.0			937.0		421.0	934.0	276.0	706.0	880.0	675.0
Tma16	4.0			59.0		24.0	60.0	14.0	63.0	68.0	117.0
Tma7	28.0			132.0		65.0	109.0	40.0	103.0	74.0	108.0
Tmbim1	71.0			385.0		185.0	339.0	103.0	381.0	306.0	858.0
Tmbim4	166.0			782.0		349.0	605.0	164.0	850.0	442.0	672.0
Tmbim6	745.0			3967.0		1812.0	3453.0	1038.0	3680.0	2598.0	4207.0
Tmbim7	0.0			0.0		1.0	4.0	1.0	1.0	4.0	4.0
Tmc1	2.0			5.0		4.0	4.0	2.0	4.0	6.0	7.0
Tmc2	0.0			1.0		1.0	7.0	0.0	0.0	5.0	3.0
Tmc3	1.0			11.0		5.0	2.0	1.0	8.0	5.0	11.0
Tmc4	9.0			25.0		7.0	12.0	8.0	52.0	11.0	9.0
Tmc5	1.0			10.0		9.0	3.0	0.0	7.0	2.0	4.0
Tmc6	214.0			815.0		376.0	928.0	269.0	972.0	1134.0	1028.0
Tmc7	0.0			6.0		2.0	5.0	1.0	8.0	10.0	4.0
Tmc8	19.0			87.0		23.0	95.0	36.0	43.0	164.0	146.0
Tmcc1	427.0			1803.0		864.0	1873.0	531.0	719.0	1615.0	1091.0
Tmcc2	8.0			54.0		23.0	45.0	11.0	46.0	22.0	40.0
Tmcc3	5.0			41.0		39.0	67.0	9.0	44.0	70.0	528.0
Tmco1	141.0			849.0		406.0	736.0	238.0	711.0	751.0	987.0
Tmco2	0.0			0.0		0.0	2.0	2.0	0.0	1.0	0.0
Tmco3	31.0			190.0		89.0	143.0	56.0	148.0	93.0	284.0
Tmco4	12.0			102.0		44.0	70.0	17.0	124.0	101.0	116.0
Tmco5	0.0			2.0		1.0	0.0	2.0	3.0	3.0	2.0
Tmco5b	0.0			0.0		2.0	0.0	0.0	0.0	11.0	0.0
Tmco6	14.0			120.0		49.0	111.0	34.0	67.0	94.0	99.0
Tmed1	14.0			86.0		41.0	73.0	25.0	52.0	52.0	78.0
Tmed10	217.0			1322.0		607.0	1275.0	403.0	1422.0	615.0	1058.0
Tmed11	0.0			0.0		0.0	1.0	0.0	0.0	5.0	0.0
Tmed2	54.0			343.0		155.0	334.0	91.0	357.0	152.0	215.0
Tmed3	135.0			621.0		335.0	660.0	213.0	800.0	238.0	824.0
Tmed4	47.0			418.0		163.0	302.0	84.0	334.0	226.0	350.0
Tmed5	278.0			925.0		405.0	683.0	382.0	928.0	1091.0	1625.0
Tmed6	0.0			1.0		0.0	1.0	0.0	0.0	0.0	6.0
Tmed7	57.0			692.0		282.0	428.0	123.0	236.0	302.0	241.0
Tmed8	13.0			157.0		64.0	133.0	33.0	99.0	65.0	81.0
Tmed9	66.0			346.0		186.0	215.0	81.0	310.0	194.0	373.0
Tmeff1	0.0			4.0		1.0	8.0	1.0	9.0	2.0	6.0
Tmeff2	0.0			23.0		11.0	8.0	4.0	10.0	10.0	12.0
Tmem100	0.0			1.0		0.0	1.0	0.0	1.0	0.0	14.0
Tmem101	21.0			125.0		68.0	119.0	43.0	104.0	53.0	91.0
Tmem102	0.0			1.0		2.0	1.0	0.0	0.0	1.0	5.0
Tmem104	99.0			581.0		236.0	521.0	143.0	613.0	155.0	501.0
Tmem106a	209.0			1289.0		459.0	895.0	278.0	1104.0	273.0	1162.0
Tmem106b	107.0			545.0		241.0	400.0	189.0	465.0	291.0	575.0
Tmem106c	8.0			72.0		33.0	67.0	28.0	66.0	67.0	145.0
Tmem107	2.0			19.0		13.0	22.0	6.0	11.0	1.0	12.0
Tmem108	0.0			2.0		5.0	16.0	2.0	5.0	2.0	5.0
Tmem109	144.0			961.0		371.0	716.0	176.0	517.0	524.0	797.0
Tmem11	38.0			217.0		70.0	187.0	50.0	175.0	131.0	198.0
Tmem110	30.0			190.0		76.0	116.0	30.0	140.0	64.0	71.0
Tmem114	0.0			3.0		3.0	0.0	0.0	0.0	0.0	0.0
Tmem115	46.0			270.0		109.0	240.0	79.0	246.0	170.0	242.0
Tmem116	2.0			24.0		7.0	22.0	6.0	26.0	21.0	16.0
Tmem117	1.0			7.0		2.0	4.0	0.0	0.0	2.0	6.0
Tmem119	6.0			27.0		12.0	9.0	3.0	25.0	0.0	393.0
Tmem120a	18.0			139.0		67.0	102.0	31.0	115.0	70.0	104.0
Tmem120b	1.0			23.0		6.0	14.0	6.0	4.0	13.0	75.0
Tmem121	0.0			0.0		2.0	0.0	0.0	0.0	0.0	0.0
Tmem123	225.0			1813.0		692.0	1072.0	287.0	936.0	440.0	1024.0
Tmem125	0.0			1.0		1.0	0.0	1.0	0.0	0.0	0.0
Tmem126a	59.0			290.0		109.0	277.0	81.0	304.0	154.0	200.0
Tmem126b	35.0			296.0		95.0	177.0	60.0	162.0	124.0	175.0
Tmem127	299.0			1341.0		542.0	1041.0	410.0	1167.0	1042.0	851.0
Tmem128	110.0			548.0		256.0	448.0	173.0	772.0	374.0	471.0
Tmem129	34.0			136.0		92.0	148.0	53.0	141.0	117.0	195.0
Tmem130	0.0			1.0		1.0	0.0	0.0	1.0	2.0	3.0
Tmem131	80.0			519.0		204.0	371.0	142.0	463.0	347.0	486.0
Tmem131l	125.0			862.0		361.0	792.0	241.0	1030.0	535.0	569.0
Tmem132a	7.0			55.0		14.0	57.0	11.0	22.0	23.0	119.0
Tmem132b	0.0			11.0		5.0	3.0	0.0	6.0	6.0	9.0
Tmem132c	3.0			12.0		4.0	0.0	3.0	9.0	7.0	3.0
Tmem132d	1.0			6.0		6.0	0.0	0.0	2.0	4.0	20.0
Tmem132e	1.0			0.0		3.0	0.0	0.0	0.0	5.0	2.0
Tmem135	96.0			549.0		197.0	443.0	150.0	234.0	439.0	558.0
Tmem136	0.0			3.0		0.0	2.0	4.0	0.0	2.0	5.0
Tmem138	4.0			37.0		21.0	29.0	9.0	23.0	21.0	52.0
Tmem139	0.0			0.0		1.0	0.0	0.0	1.0	0.0	0.0
Tmem140	8.0			30.0		9.0	15.0	9.0	6.0	63.0	31.0
Tmem141	20.0			153.0		45.0	107.0	25.0	113.0	52.0	143.0
Tmem143	0.0			19.0		8.0	32.0	2.0	15.0	42.0	21.0
Tmem144	3.0			12.0		4.0	14.0	8.0	5.0	14.0	52.0
Tmem145	0.0			2.0		0.0	0.0	0.0	0.0	0.0	1.0
Tmem147	57.0			418.0		154.0	339.0	100.0	500.0	189.0	315.0
Tmem14a	1.0			14.0		0.0	11.0	1.0	5.0	10.0	19.0
Tmem14c	183.0			1120.0		386.0	867.0	273.0	1013.0	454.0	992.0
Tmem150a	0.0			0.0		0.0	0.0	0.0	0.0	0.0	2.0
Tmem150b	13.0			63.0		36.0	82.0	25.0	68.0	37.0	24.0
Tmem150c	1.0			3.0		5.0	6.0	0.0	0.0	0.0	5.0
Tmem151a	1.0			12.0		5.0	0.0	0.0	2.0	13.0	1.0
Tmem151b	0.0			0.0		0.0	0.0	1.0	3.0	7.0	0.0
Tmem154	62.0			352.0		101.0	381.0	33.0	448.0	6.0	135.0
Tmem156	29.0			267.0		82.0	207.0	81.0	164.0	212.0	143.0
Tmem158	0.0			1.0		2.0	4.0	0.0	5.0	0.0	0.0
Tmem159	36.0			135.0		63.0	116.0	35.0	58.0	27.0	157.0
Tmem160	20.0			321.0		114.0	269.0	30.0	90.0	46.0	71.0
Tmem161a	38.0			194.0		63.0	163.0	42.0	171.0	139.0	188.0
Tmem161b	50.0			225.0		90.0	203.0	87.0	229.0	201.0	208.0
Tmem163	0.0			1.0		2.0	0.0	3.0	7.0	4.0	7.0
Tmem164	200.0			1366.0		482.0	1094.0	254.0	822.0	825.0	924.0
Tmem165	71.0			396.0		224.0	404.0	106.0	309.0	139.0	290.0
Tmem167	262.0			1295.0		592.0	1025.0	389.0	1226.0	458.0	742.0
Tmem167b	56.0			356.0		191.0	251.0	82.0	366.0	232.0	291.0
Tmem168	180.0			876.0		366.0	600.0	213.0	627.0	351.0	827.0
Tmem169	0.0			5.0		1.0	3.0	0.0	3.0	2.0	2.0
Tmem17	1.0			3.0		5.0	2.0	0.0	5.0	2.0	4.0
Tmem170	1.0			23.0		6.0	12.0	3.0	6.0	32.0	11.0
Tmem170b	220.0			916.0		398.0	977.0	291.0	1357.0	451.0	1000.0
Tmem171	0.0			6.0		0.0	1.0	0.0	4.0	2.0	15.0
Tmem173	164.0			1081.0		403.0	878.0	239.0	980.0	273.0	852.0
Tmem174	3.0			2.0		4.0	0.0	0.0	0.0	3.0	5.0
Tmem175	26.0			178.0		108.0	181.0	60.0	220.0	99.0	162.0
Tmem176a	184.0			1537.0		389.0	604.0	217.0	646.0	65.0	1734.0
Tmem176b	526.0			4488.0		1396.0	2069.0	680.0	1757.0	228.0	3052.0
Tmem177	9.0			37.0		18.0	15.0	9.0	39.0	39.0	42.0
Tmem178	1.0			0.0		0.0	0.0	0.0	0.0	8.0	0.0
Tmem178b	2.0			7.0		12.0	7.0	2.0	2.0	8.0	10.0
Tmem179	0.0			3.0		1.0	0.0	0.0	0.0	0.0	0.0
Tmem18	37.0			173.0		54.0	86.0	33.0	185.0	46.0	106.0
Tmem181a	14.0			114.0		36.0	65.0	25.0	92.0	55.0	83.0
Tmem182	1.0			0.0		0.0	0.0	0.0	1.0	0.0	0.0
Tmem183a	104.0			394.0		183.0	303.0	141.0	456.0	194.0	292.0
Tmem184a	4.0			2.0		2.0	7.0	2.0	1.0	9.0	1.0
Tmem184b	249.0			853.0		404.0	1230.0	284.0	546.0	389.0	474.0
Tmem184c	39.0			274.0		119.0	168.0	55.0	192.0	163.0	266.0
Tmem185a	75.0			326.0		131.0	272.0	88.0	244.0	189.0	284.0
Tmem185b	126.0			740.0		270.0	547.0	157.0	495.0	286.0	471.0
Tmem186	17.0			157.0		74.0	93.0	44.0	108.0	94.0	89.0
Tmem189	26.0			111.0		55.0	110.0	29.0	181.0	106.0	177.0
Tmem19	74.0			527.0		210.0	361.0	135.0	428.0	316.0	476.0
Tmem190	0.0			0.0		2.0	7.0	0.0	1.0	0.0	0.0
Tmem191c	3.0			32.0		16.0	29.0	3.0	27.0	24.0	25.0
Tmem192	26.0			355.0		124.0	284.0	55.0	268.0	101.0	139.0
Tmem196	0.0			1.0		2.0	2.0	0.0	0.0	0.0	3.0
Tmem198	0.0			0.0		0.0	0.0	0.0	0.0	0.0	1.0
Tmem198b	0.0			38.0		21.0	41.0	7.0	52.0	7.0	23.0
Tmem199	21.0			151.0		69.0	120.0	38.0	159.0	121.0	179.0
Tmem2	25.0			198.0		88.0	118.0	36.0	156.0	79.0	175.0
Tmem200a	0.0			0.0		2.0	3.0	0.0	2.0	1.0	3.0
Tmem200b	0.0			1.0		0.0	0.0	0.0	0.0	0.0	4.0
Tmem200c	0.0			1.0		0.0	0.0	0.0	0.0	0.0	0.0
Tmem201	7.0			29.0		22.0	25.0	8.0	37.0	42.0	62.0
Tmem202	5.0			4.0		2.0	3.0	0.0	2.0	0.0	19.0
Tmem203	5.0			41.0		14.0	23.0	6.0	27.0	12.0	15.0
Tmem204	0.0			12.0		7.0	12.0	0.0	6.0	11.0	25.0
Tmem205	7.0			131.0		41.0	118.0	24.0	100.0	22.0	100.0
Tmem206	51.0			267.0		96.0	217.0	63.0	156.0	135.0	324.0
Tmem207	0.0			1.0		3.0	2.0	0.0	2.0	4.0	4.0
Tmem208	57.0			559.0		204.0	392.0	113.0	404.0	227.0	334.0
Tmem209	76.0			287.0		88.0	253.0	58.0	221.0	259.0	331.0
Tmem210	0.0			0.0		0.0	1.0	0.0	0.0	0.0	0.0
Tmem211	0.0			0.0		2.0	0.0	0.0	2.0	1.0	2.0
Tmem212	0.0			1.0		3.0	0.0	1.0	1.0	2.0	0.0
Tmem213	0.0			0.0		0.0	0.0	0.0	1.0	0.0	1.0
