	Mo.Ly6C+.Bl.KPd17#3	Mo.Ly6C-Bl.KPd28#1	Mo.Ly6C-Bl.KPd28#2	Mo.Ly6C+.Bl#1	Mo.Ly6C-Bl.KPd28#3	Mo.Ly6C+.Bl#2	Mo.Ly6C+.Bl#3	Mo.Ly6C+.Bl.KPd17#1	Mo.Ly6C+.Bl.KPd28#2	Mo.Ly6C+.Bl.KPd17#2	Mo.Ly6C+.Bl.KPd28#3
Tmem53	0.0			3.0		0.0	0.0	3.0	2.0	5.0	4.0
Tmem54	2.0			1.0		1.0	0.0	0.0	0.0	0.0	1.0
Tmem55a	65.0			312.0		132.0	254.0	72.0	243.0	93.0	232.0
Tmem55b	71.0			767.0		276.0	620.0	118.0	361.0	176.0	187.0
Tmem56	1.0			11.0		15.0	7.0	2.0	1.0	0.0	15.0
Tmem57	9.0			62.0		31.0	45.0	20.0	52.0	79.0	63.0
Tmem59	414.0			2200.0		989.0	1823.0	593.0	1668.0	970.0	1764.0
Tmem59l	0.0			0.0		0.0	0.0	0.0	0.0	0.0	1.0
Tmem60	34.0			169.0		90.0	98.0	41.0	217.0	107.0	105.0
Tmem62	27.0			98.0		31.0	52.0	8.0	70.0	70.0	94.0
Tmem63a	86.0			593.0		230.0	432.0	112.0	570.0	163.0	367.0
Tmem63b	9.0			62.0		23.0	60.0	8.0	58.0	72.0	117.0
Tmem63c	0.0			3.0		2.0	0.0	0.0	0.0	9.0	2.0
Tmem64	6.0			34.0		19.0	33.0	26.0	16.0	22.0	41.0
Tmem65	41.0			157.0		38.0	103.0	47.0	87.0	47.0	127.0
Tmem67	36.0			125.0		71.0	152.0	44.0	134.0	28.0	89.0
Tmem68	150.0			557.0		261.0	538.0	166.0	368.0	270.0	457.0
Tmem69	12.0			80.0		25.0	21.0	12.0	67.0	59.0	44.0
Tmem70	76.0			336.0		132.0	295.0	94.0	220.0	257.0	301.0
Tmem71	187.0			661.0		376.0	686.0	229.0	671.0	199.0	262.0
Tmem72	1.0			13.0		18.0	6.0	1.0	2.0	24.0	2.0
Tmem74	1.0			3.0		1.0	0.0	0.0	0.0	0.0	0.0
Tmem74b	4.0			2.0		0.0	2.0	0.0	2.0	2.0	0.0
Tmem79	2.0			3.0		1.0	0.0	1.0	3.0	0.0	5.0
Tmem8	12.0			83.0		23.0	76.0	13.0	56.0	58.0	90.0
Tmem80	12.0			78.0		19.0	44.0	12.0	39.0	45.0	45.0
Tmem81	5.0			38.0		10.0	30.0	13.0	13.0	87.0	27.0
Tmem82	1.0			2.0		0.0	3.0	0.0	1.0	1.0	2.0
Tmem86a	48.0			229.0		102.0	299.0	47.0	229.0	94.0	523.0
Tmem86b	9.0			59.0		20.0	26.0	14.0	26.0	20.0	21.0
Tmem87a	44.0			314.0		97.0	171.0	81.0	252.0	207.0	286.0
Tmem87b	59.0			305.0		100.0	199.0	97.0	452.0	208.0	492.0
Tmem88	5.0			22.0		3.0	15.0	1.0	22.0	11.0	54.0
Tmem88b	0.0			3.0		0.0	1.0	0.0	0.0	0.0	1.0
Tmem89	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Tmem8b	2.0			1.0		4.0	0.0	4.0	8.0	4.0	13.0
Tmem9	5.0			41.0		15.0	37.0	12.0	24.0	20.0	83.0
Tmem91	15.0			83.0		20.0	71.0	16.0	70.0	72.0	38.0
Tmem92	0.0			0.0		0.0	0.0	0.0	0.0	1.0	1.0
Tmem94	17.0			243.0		94.0	217.0	45.0	138.0	136.0	166.0
Tmem95	1.0			1.0		0.0	1.0	1.0	1.0	1.0	0.0
Tmem97	13.0			67.0		19.0	38.0	14.0	35.0	23.0	53.0
Tmem98	0.0			1.0		1.0	0.0	2.0	0.0	1.0	1.0
Tmem9b	133.0			908.0		331.0	718.0	259.0	818.0	389.0	619.0
Tmf1	78.0			293.0		110.0	432.0	131.0	276.0	235.0	238.0
Tmie	3.0			0.0		2.0	0.0	1.0	1.0	2.0	0.0
Tmigd1	0.0			1.0		5.0	2.0	0.0	1.0	4.0	0.0
Tmigd3	2.0			24.0		11.0	11.0	5.0	10.0	11.0	6.0
Tmlhe	2.0			6.0		2.0	9.0	1.0	3.0	4.0	17.0
Tmod1	0.0			2.0		3.0	6.0	0.0	0.0	5.0	11.0
Tmod2	4.0			16.0		16.0	4.0	6.0	6.0	4.0	28.0
Tmod3	291.0			1360.0		618.0	1177.0	427.0	1523.0	873.0	1474.0
Tmod4	0.0			5.0		15.0	8.0	8.0	21.0	3.0	5.0
Tmpo	213.0			1847.0		628.0	1103.0	452.0	679.0	540.0	395.0
Tmppe	45.0			236.0		93.0	229.0	64.0	202.0	140.0	170.0
Tmprss11a	2.0			3.0		6.0	6.0	6.0	7.0	16.0	2.0
Tmprss11b	1.0			5.0		5.0	4.0	1.0	8.0	13.0	5.0
Tmprss11c	2.0			0.0		1.0	3.0	1.0	1.0	1.0	1.0
Tmprss11d	0.0			6.0		2.0	0.0	5.0	1.0	0.0	9.0
Tmprss11e	1.0			10.0		5.0	0.0	0.0	10.0	4.0	3.0
Tmprss11f	1.0			6.0		6.0	5.0	6.0	5.0	13.0	9.0
Tmprss11g	2.0			8.0		7.0	2.0	6.0	6.0	5.0	1.0
Tmprss12	0.0			3.0		3.0	0.0	0.0	0.0	2.0	3.0
Tmprss13	1.0			3.0		2.0	2.0	3.0	1.0	1.0	0.0
Tmprss15	0.0			13.0		7.0	0.0	4.0	4.0	2.0	13.0
Tmprss2	4.0			11.0		18.0	11.0	2.0	6.0	17.0	1.0
Tmprss3	0.0			3.0		0.0	3.0	0.0	0.0	8.0	0.0
Tmprss4	0.0			11.0		4.0	1.0	2.0	5.0	2.0	10.0
Tmprss5	0.0			3.0		0.0	2.0	0.0	0.0	3.0	1.0
Tmprss6	3.0			2.0		0.0	2.0	2.0	2.0	2.0	0.0
Tmprss7	0.0			4.0		1.0	0.0	1.0	3.0	3.0	7.0
Tmprss9	2.0			5.0		7.0	13.0	3.0	2.0	2.0	5.0
Tmsb10	171.0			707.0		291.0	865.0	215.0	409.0	160.0	177.0
Tmsb15a	0.0			0.0		0.0	0.0	0.0	1.0	0.0	0.0
Tmsb15b1	0.0			0.0		0.0	0.0	0.0	1.0	0.0	1.0
Tmsb15b2	0.0			0.0		1.0	0.0	0.0	0.0	0.0	0.0
Tmsb15l	0.0			0.0		0.0	0.0	0.0	1.0	0.0	0.0
Tmsb4x	3050.0			17474.0		8368.0	15281.0	4849.0	11927.0	8421.0	16245.0
Tmtc1	10.0			11.0		3.0	1.0	5.0	8.0	10.0	7.0
Tmtc2	3.0			12.0		13.0	5.0	2.0	24.0	13.0	27.0
Tmtc3	15.0			121.0		50.0	97.0	63.0	112.0	63.0	176.0
Tmtc4	4.0			31.0		5.0	16.0	3.0	24.0	30.0	49.0
Tmub1	36.0			130.0		47.0	108.0	33.0	104.0	71.0	82.0
Tmub2	109.0			561.0		233.0	495.0	122.0	535.0	297.0	418.0
Tmx1	221.0			820.0		398.0	628.0	260.0	808.0	501.0	1114.0
Tmx2	22.0			148.0		42.0	35.0	22.0	88.0	58.0	145.0
Tmx3	286.0			1272.0		572.0	935.0	530.0	990.0	861.0	1156.0
Tmx4	107.0			471.0		173.0	373.0	152.0	424.0	310.0	450.0
Tnc	3.0			23.0		6.0	8.0	0.0	11.0	33.0	23.0
Tnf	22.0			83.0		39.0	30.0	36.0	88.0	112.0	353.0
