	Mo.Ly6C+.Bl#1	Mo.Ly6C+.Bl#2	Mo.Ly6C+.Bl#3	Mo.Ly6C+.Bl.KPd17#1	Mo.Ly6C+.Bl.KPd17#2	Mo.Ly6C+.Bl.KPd17#3	Mo.Ly6C+.Bl.KPd28#1	Mo.Ly6C+.Bl.KPd28#2	Mo.Ly6C+.Bl.KPd28#3
Hist1h4d	12	7	21	0	13	4	0	11	19
Hist1h4f	1	0	0	0	0	0	0	0	1
Hist1h4h	2	0	0	1	0	1	0	4	5
Hist1h4i	24	20	18	6	30	3	0	38	48
Hist1h4j	0	3	0	0	1	0	0	0	6
Hist1h4k	3	0	0	0	0	0	0	0	5
Hist1h4m	0	1	1	0	0	0	0	6	2
Hist1h4n	0	0	0	1	0	0	0	3	1
Hist2h2aa1	0	0	0	0	0	0	0	0	0
Hist2h2aa2	0	0	0	0	0	0	0	0	0
Hist2h2ab	0	0	0	0	0	0	0	0	0
Hist2h2ac	2	1	2	0	1	0	0	2	3
Hist2h2bb	0	0	0	0	0	0	0	0	0
Hist2h2be	61	39	123	13	62	9	0	50	29
Hist2h3b	0	0	0	0	0	0	0	0	0
Hist2h3c1	0	0	0	0	0	0	0	0	0
Hist2h3c2	0	0	0	0	0	0	0	0	0
Hist2h4	5	4	2	2	14	0	0	10	12
Hist3h2a	96	47	92	22	63	22	0	85	67
Hist3h2ba	4	2	3	1	0	1	0	1	5
Hist4h4	11	4	10	2	20	2	0	7	5
Hivep1	315	114	297	89	342	74	0	281	398
Hivep2	49	15	61	15	205	14	0	45	535
Hivep3	246	84	242	50	54	25	0	132	220
Hjurp	476	255	406	144	892	97	0	513	836
Hk1	456	167	293	95	120	100	0	304	252
Hk2	483	308	394	130	219	108	0	268	477
Hk3	771	376	659	178	307	120	0	482	855
Hkdc1	4	7	3	0	12	1	0	17	6
Hlcs	448	237	420	132	435	126	0	291	237
Hlf	5	10	2	0	2	2	0	3	1
Hltf	708	328	624	247	292	179	0	506	404
Hlx	54	32	86	29	23	14	0	70	80
Hmbox1	263	102	243	102	153	51	0	197	253
Hmbs	292	120	176	44	122	31	0	208	187
Hmces	91	10	61	18	52	11	0	31	145
Hmcn1	33	13	27	7	31	5	0	19	58
Hmcn2	30	11	5	2	12	2	0	3	16
Hmg20a	307	137	224	88	170	53	0	210	140
Hmg20b	252	130	267	50	121	46	0	199	149
Hmga1	69	20	68	13	42	3	0	58	34
Hmga1b	4	2	1	3	1	0	0	6	1
Hmga2	5	6	4	2	2	1	0	1	6
Hmgb1	293	138	253	91	168	65	0	312	333
Hmgb2	329	143	277	79	144	49	0	280	178
Hmgb3	12	1	9	1	3	1	0	3	17
Hmgb4	0	0	0	0	0	0	0	0	1
Hmgcl	986	382	871	197	416	163	0	847	602
Hmgcll1	0	0	5	1	4	1	0	3	8
Hmgcr	855	289	429	265	347	164	0	521	687
Hmgcs1	777	390	369	304	305	156	0	464	496
Hmgcs2	1	4	3	1	7	0	0	3	4
Hmgn1	49	14	17	5	16	6	0	38	188
Hmgn2	82	27	49	17	50	11	0	80	99
Hmgn3	12	19	42	4	3	6	0	22	15
Hmgn5	32	14	29	5	37	10	0	20	63
Hmgxb3	288	104	238	61	194	69	0	250	235
Hmgxb4	224	87	163	45	230	34	0	132	217
Hmmr	9	8	0	0	6	3	0	10	103
Hmox1	565	239	511	189	423	110	0	974	1573
Hmox2	554	287	576	140	215	104	0	426	448
Hmx1	0	0	0	0	2	0	0	0	0
Hmx2	2	3	1	0	4	0	0	0	2
Hmx3	1	0	0	0	0	0	0	1	3
Hn1	1522	613	1265	379	1161	298	0	1250	1544
Hnf1a	4	1	1	0	3	0	0	3	0
Hnf1b	3	2	2	1	6	0	0	2	1
Hnf4a	2	0	4	9	2	3	0	1	2
Hnf4g	6	5	3	2	1	2	0	2	7
Hnmt	114	44	59	24	90	22	0	57	111
Hnrnpa0	90	39	100	33	85	17	0	109	112
Hnrnpa1	789	296	781	208	414	156	0	684	867
Hnrnpa2b1	5902	2325	4627	1574	3393	1097	0	3975	4651
Hnrnpa3	481	178	373	105	285	98	0	416	422
Hnrnpab	148	48	110	25	101	16	0	125	131
Hnrnpc	1146	491	1027	303	545	173	0	707	842
Hnrnpd	219	100	210	60	128	55	0	212	147
Hnrnpdl	1707	763	1508	491	1189	365	0	1896	1569
Hnrnpf	281	109	232	74	216	61	0	216	240
Hnrnph1	1487	695	1297	442	1222	389	0	1339	1737
Hnrnph2	714	242	489	202	397	121	0	539	560
Hnrnph3	223	137	225	82	224	51	0	184	241
Hnrnpk	3029	1368	2609	917	1664	654	0	3021	2598
Hnrnpl	503	226	410	98	343	72	0	510	424
Hnrnpll	587	177	326	70	83	57	0	290	243
Hnrnpm	2154	823	1630	461	992	329	0	1491	1563
Hnrnpr	506	222	388	175	490	80	0	427	478
Hnrnpu	191	59	118	33	59	17	0	88	81
Hnrnpul1	535	224	367	109	274	60	0	288	304
Hnrnpul2	170	63	133	47	87	36	0	118	110
Hoga1	1	2	1	0	1	1	0	0	0
Homer1	89	41	40	35	34	16	0	52	112
Homer2	6	5	11	4	1	0	0	9	8
Homer3	23	11	16	7	17	1	0	7	11
Homez	74	31	46	15	44	9	0	65	17
Hook1	14	18	10	5	5	2	0	7	18
Hook2	55	10	11	6	32	6	0	41	131
Hook3	783	381	583	223	523	178	0	648	696
Hopx	11	2	13	1	1	3	0	25	1
Hormad1	5	4	1	4	12	2	0	6	3
Hormad2	11	3	4	3	3	3	0	2	7
Hoxa1	0	4	0	0	0	0	0	0	2
Hoxa10	0	2	0	0	1	0	0	0	0
Hoxa11	0	0	0	1	0	0	0	0	0
Hoxa13	0	3	4	0	0	0	0	2	0
Hoxa2	0	0	0	0	5	0	0	1	5
Hoxa3	2	1	3	0	4	0	0	0	2
Hoxa4	0	0	0	0	0	0	0	0	1
Hoxa5	0	0	0	0	4	0	0	0	1
Hoxa6	0	0	0	0	0	0	0	0	0
Hoxa7	6	0	2	0	2	1	0	1	1
Hoxa9	3	1	2	0	5	4	0	0	2
Hoxb1	0	0	5	0	6	0	0	1	2
Hoxb13	1	3	1	0	9	0	0	0	0
Hoxb2	0	3	0	1	1	0	0	0	1
Hoxb3	1	0	3	0	0	0	0	0	1
Hoxb4	5	5	5	2	4	0	0	1	4
Hoxb5	6	0	0	1	4	1	0	0	3
Hoxb6	0	1	0	0	0	0	0	0	1
Hoxb7	0	1	0	0	0	0	0	0	2
Hoxb8	0	0	0	0	0	0	0	0	0
Hoxb9	0	1	0	0	0	0	0	0	3
Hoxc10	0	0	0	0	0	0	0	1	1
Hoxc11	0	1	0	0	2	0	0	0	0
Hoxc12	0	0	0	0	1	0	0	0	0
Hoxc13	1	2	2	0	1	0	0	1	4
Hoxc4	0	1	0	0	0	0	0	0	3
Hoxc5	2	1	0	0	2	0	0	2	0
Hoxc6	0	2	0	0	1	1	0	0	1
Hoxc8	2	3	0	0	1	0	0	0	1
Hoxc9	0	1	0	1	2	0	0	1	2
Hoxd1	0	0	0	2	0	0	0	0	3
Hoxd10	2	0	0	0	0	0	0	0	0
Hoxd11	3	0	0	0	5	0	0	0	0
Hoxd12	0	0	1	0	1	2	0	3	0
Hoxd13	3	0	0	1	0	0	0	0	0
Hoxd3	2	0	1	0	1	0	0	0	0
Hoxd4	3	0	0	0	0	0	0	0	0
Hoxd8	4	0	0	0	0	0	0	0	0
Hoxd9	0	1	2	0	0	0	0	0	0
Hp	8238	2270	5344	1246	559	929	1	8521	1120
Hp1bp3	526	256	453	140	362	118	0	484	619
Hpca	2	2	0	0	0	1	0	0	0
Hpcal1	1320	526	1502	298	516	258	0	1087	969
Hpcal4	3	6	5	0	6	0	0	6	1
Hpd	0	0	0	0	3	1	0	1	0
Hpdl	0	0	2	1	2	0	0	0	2
Hpf1	277	70	133	77	145	29	0	201	237
Hpgd	3045	1979	2064	1201	2508	724	0	874	2269
Hpgds	27	25	26	5	33	9	0	38	365
Hpn	15	5	4	3	10	4	0	22	35
Hprt	1123	610	1054	383	472	216	0	886	953
Hps1	439	162	335	93	211	74	0	358	332
Hps3	2284	1056	1656	730	1028	498	0	1896	1053
Hps4	119	51	74	42	77	21	0	72	137
Hps5	573	345	759	245	488	118	0	555	467
Hps6	152	52	114	23	50	22	0	73	61
Hpse	1599	870	1606	409	84	233	0	861	140
Hpse2	4	3	0	0	10	3	0	2	5
Hpx	4	1	2	1	1	0	0	4	0
Hr	7	4	1	2	7	2	0	0	23
Hras	97	42	63	11	17	14	0	64	59
Hrasls	2	1	0	0	0	0	0	1	8
Hrasls5	1	1	0	2	0	2	0	0	5
Hrc	3	1	0	1	0	0	0	1	0
Hrct1	0	1	0	1	12	0	0	0	0
Hrg	0	1	0	2	2	0	0	4	3
Hrh1	2	6	4	0	6	0	0	0	33
Hrh2	188	40	45	15	35	8	0	222	72
Hrh3	0	0	0	0	1	1	0	0	0
Hrh4	0	0	0	1	1	0	0	2	0
Hrk	4	4	0	0	1	1	0	5	0
