	Mo.Ly6C+.Lu#1	Mo.Ly6C+.Lu#2	Mo.Ly6C+.Lu#3	Mo.Ly6C+.Lu.KPd17#1	Mo.Ly6C+.Lu.KPd17#2	Mo.Ly6C+.Lu.KPd28#1	Mo.Ly6C+.Lu.KPd28#2	Mo.Ly6C+.Lu.KPd28#3
Bcor	264	298	132	146	177	126	166	166
Bcorl1	45	75	38	34	61	35	22	45
Bcr	109	120	64	82	59	85	52	66
Bcs1l	33	70	25	37	51	65	67	65
Bdh1	3	0	0	2	1	0	0	0
Bdh2	7	4	1	0	2	1	1	7
Bdkrb1	7	1	1	2	1	4	2	7
Bdkrb2	3	8	0	3	4	0	0	2
Bdnf	0	1	2	4	5	0	0	5
Bdp1	320	388	252	240	427	315	317	395
Bean1	4	5	0	1	0	0	4	0
Becn1	426	505	281	312	442	560	486	568
Begain	1	9	2	1	2	1	0	0
Bend3	12	18	13	8	10	11	12	15
Bend4	37	21	21	20	34	60	19	51
Bend5	7	2	0	2	4	0	0	5
Bend6	10	1	2	3	7	1	7	4
Bend7	2	4	1	1	8	1	2	3
Best1	9	25	6	9	12	67	13	9
Best2	0	0	0	0	2	0	4	0
Best3	4	1	2	0	0	3	2	5
Bet1	159	323	163	173	290	296	270	312
Bet1l	125	139	102	116	151	145	112	145
Bex1	0	2	0	0	0	1	0	0
Bex2	0	0	0	0	0	0	0	0
Bex3	32	47	19	25	32	44	28	19
Bex4	5	0	0	0	0	0	0	0
Bex6	79	79	16	53	60	43	34	32
Bfar	389	542	292	313	426	599	482	579
Bfsp1	35	17	18	11	10	34	26	17
Bfsp2	0	3	0	0	1	3	1	0
Bglap	0	0	0	0	0	0	0	0
Bglap2	0	0	0	0	0	0	0	0
Bglap3	0	5	0	0	0	0	0	0
Bgn	38	16	15	18	13	32	51	45
Bhlha15	0	3	0	1	3	0	0	0
Bhlha9	1	0	1	2	2	1	0	0
Bhlhb9	0	17	1	13	9	4	11	0
Bhlhe22	0	1	0	0	0	0	1	2
Bhlhe23	0	3	3	0	0	0	0	1
Bhlhe40	113	216	168	140	172	461	663	412
Bhlhe41	11	5	2	6	5	8	40	28
Bhmt	2	0	6	0	3	0	0	1
Bhmt2	2	5	0	0	4	0	3	1
Bicc1	3	6	4	3	7	5	14	3
Bicd1	13	19	9	12	34	3	14	15
Bicd2	193	278	164	171	195	210	215	226
Bicdl1	23	13	11	8	24	6	13	8
Bicdl2	1	3	0	1	0	0	0	3
Bicra	215	279	145	136	161	159	138	190
Bicral	173	245	146	132	178	67	158	153
Bid	800	671	452	524	649	463	644	593
Bik	0	0	0	1	1	0	0	0
Bin1	99	192	108	83	129	184	144	154
Bin2	2925	2843	2030	2054	2440	3272	2444	2915
Bin3	749	851	503	597	747	813	913	796
Birc2	268	286	169	258	350	198	329	270
Birc3	1128	1242	803	852	1135	1921	899	1376
Birc5	15	3	4	0	10	11	26	18
Birc6	1300	1575	857	889	1293	990	1167	1333
Birc7	1	1	0	0	3	0	1	0
Bivm	50	38	32	48	60	47	42	73
Blcap	120	136	73	76	133	156	182	173
Blk	0	1	1	7	4	0	1	0
Blm	28	49	16	33	36	21	43	47
Blmh	452	501	327	371	501	499	442	559
Blnk	22	71	6	8	35	23	33	34
Bloc1s1	5	10	6	5	4	6	6	8
Bloc1s2	143	246	145	109	174	204	132	162
Bloc1s3	76	115	43	20	87	104	81	36
Bloc1s4	72	134	84	25	88	55	74	52
Bloc1s5	57	108	74	69	84	94	91	70
Bloc1s6	297	291	176	184	210	180	265	247
Blvra	423	425	198	248	368	533	528	492
Blvrb	225	316	164	215	248	396	240	251
Blzf1	87	121	80	113	119	205	151	173
Bmf	210	207	122	112	191	158	183	221
Bmi1	43	55	23	39	50	21	33	39
Bmp1	7	7	0	1	10	6	2	2
